image_id,unetpp_prnu_illum_iou,unetpp_prnu_freq_iou,unetpp_freq_illum_iou,unetpp_all_iou,attenunet_prnu_illum_iou,attenunet_prnu_freq_iou,attenunet_freq_illum_iou,attenunet_all_iou,ensemble_prnu_illum_iou,ensemble_prnu_freq_iou,ensemble_freq_illum_iou,ensemble_all_iou
180,0.95702,0.955548,0.939287,0.963121,0.939793,0.962025,0.905831,0.940601,0.951648,0.959298,0.923571,0.964363
181,0.945946,0.941682,0.936216,0.950109,0.946384,0.931706,0.946906,0.933357,0.947084,0.936367,0.94637,0.944644
182,0.956333,0.951951,0.933097,0.966696,0.944935,0.94862,0.933728,0.946565,0.961268,0.9534,0.934577,0.964768
183,0.971921,0.961893,0.926852,0.955583,0.967804,0.95398,0.919899,0.953444,0.972826,0.961659,0.926266,0.953561
184,0.909555,0.916492,0.859492,0.921931,0.916272,0.889892,0.897345,0.913351,0.917437,0.904551,0.875364,0.920701
185,0.976162,0.964834,0.961738,0.974597,0.958599,0.960048,0.944771,0.967897,0.965172,0.970576,0.960683,0.97619
186,0.95935,0.964411,0.931381,0.970806,0.979332,0.965801,0.929759,0.965532,0.979895,0.978518,0.934194,0.975588
187,0.9625,0.957205,0.931784,0.966601,0.948113,0.948276,0.922029,0.976917,0.957924,0.954796,0.924521,0.976835
188,0.965777,0.963876,0.97269,0.974306,0.975443,0.971361,0.958291,0.964213,0.97435,0.972279,0.969278,0.970418
189,0.970017,0.968177,0.891438,0.980596,0.974084,0.962963,0.947694,0.970924,0.979627,0.971369,0.933517,0.976075
190,0.953209,0.942144,0.92082,0.929542,0.946671,0.938608,0.928481,0.943343,0.951327,0.938924,0.929136,0.942496
191,0.948128,0.956401,0.939192,0.951919,0.93703,0.925132,0.945024,0.961146,0.969469,0.948302,0.955742,0.959359
192,0.9777,0.967067,0.9625,0.982401,0.962427,0.976022,0.922864,0.981213,0.971417,0.976088,0.950237,0.985485
193,0.939054,0.897466,0.955756,0.933871,0.91949,0.911624,0.952106,0.924679,0.9292,0.903302,0.957113,0.928457
194,0.954516,0.971244,0.944773,0.958227,0.967208,0.963462,0.958224,0.957311,0.96252,0.968116,0.953213,0.959158
195,0.960521,0.948697,0.903862,0.949718,0.936812,0.949247,0.871964,0.946856,0.96146,0.953637,0.895799,0.955411
196,0.927536,0.945255,0.954396,0.970412,0.962409,0.959987,0.962902,0.958403,0.949304,0.957043,0.961386,0.967667
197,0.94515,0.952058,0.799648,0.941097,0.946043,0.918992,0.719496,0.94447,0.951971,0.936286,0.776656,0.950045
198,0.960609,0.92301,0.877807,0.962189,0.959101,0.929684,0.898335,0.957995,0.958818,0.929608,0.8886,0.964045
199,0.96295,0.974592,0.932782,0.94914,0.961221,0.963643,0.938754,0.962164,0.965567,0.976087,0.936259,0.969729
200,0.962188,0.910903,0.938842,0.962813,0.931298,0.952033,0.916121,0.95296,0.949255,0.932116,0.930697,0.964663
201,0.964906,0.961995,0.9501,0.966825,0.96909,0.961734,0.937564,0.965194,0.969718,0.964019,0.955571,0.969983
202,0.79172,0.87663,0.853822,0.834596,0.884713,0.898248,0.881529,0.884743,0.833493,0.914268,0.877707,0.887427
203,0.946817,0.925955,0.939382,0.941438,0.937375,0.932143,0.949583,0.914969,0.94288,0.931501,0.949979,0.933307
204,0.957011,0.953226,0.909184,0.964846,0.946083,0.96314,0.90735,0.968367,0.951311,0.962051,0.912538,0.972014
205,0.92931,0.929861,0.889908,0.940311,0.887063,0.935376,0.908903,0.938767,0.913663,0.934426,0.905169,0.945923
206,0.948378,0.954613,0.927895,0.944934,0.94652,0.946726,0.914039,0.941112,0.948143,0.95085,0.931633,0.942899
207,0.964518,0.961939,0.914276,0.959897,0.955093,0.964239,0.871795,0.935002,0.959297,0.96582,0.898404,0.955433
208,0.945764,0.959269,0.964582,0.974113,0.950257,0.960721,0.94011,0.945766,0.948364,0.961118,0.962021,0.962396
209,0.951555,0.952476,0.933113,0.958126,0.95015,0.953473,0.940728,0.929306,0.960186,0.95379,0.936382,0.946844
