image_id,attenunet_prnu_illum_dice,attenunet_prnu_freq_dice,attenunet_freq_illum_dice,attenunet_all_dice,diff_prnu_illum_dice,diff_prnu_freq_dice,diff_freq_illum_dice,notes
160,0.953769,0.943522,0.926117,0.963621,0.009852,0.020099,0.037504,
161,0.982725,0.983009,0.974014,0.98006,-0.002665,-0.002949,0.006046,
162,0.979337,0.983681,0.956458,0.980616,0.001279,-0.003065,0.024158,
163,0.97749,0.971629,0.934013,0.971025,-0.006465,-0.000604,0.037012,
164,0.886766,0.847572,0.839219,0.874043,-0.012723,0.026471,0.034824,
165,0.987915,0.987865,0.974654,0.985153,-0.002762,-0.002712,0.010499,
166,0.967105,0.971375,0.954242,0.972939,0.005834,0.001564,0.018697,
167,0.985998,0.984177,0.958518,0.983077,-0.002921,-0.0011,0.024559,
168,0.971203,0.975402,0.967359,0.95893,-0.012273,-0.016472,-0.008429,
169,0.986698,0.985675,0.960812,0.990089,0.003391,0.004414,0.029277,
170,0.971237,0.972766,0.938142,0.978156,0.006919,0.00539,0.040014,
171,0.986637,0.974939,0.971482,0.985019,-0.001618,0.01008,0.013537,
172,0.974714,0.954641,0.966691,0.949776,-0.024938,-0.004865,-0.016915,
173,0.961566,0.970349,0.95859,0.96939,0.007824,-0.000959,0.0108,
174,0.95739,0.967665,0.962889,0.962948,0.005558,-0.004717,0.000059,
175,0.984424,0.969594,0.952945,0.979106,-0.005318,0.009512,0.026161,
176,0.97122,0.971567,0.968117,0.971662,0.000442,0.000095,0.003545,
177,0.958218,0.95529,0.938901,0.949854,-0.008364,-0.005436,0.010953,
178,0.967157,0.97657,0.96666,0.962992,-0.004165,-0.013578,-0.003668,
179,0.919632,0.980508,0.82862,0.95082,0.031188,-0.029688,0.1222,
180,0.968962,0.980645,0.950589,0.969392,0.00043,-0.011253,0.018803,
181,0.972453,0.964646,0.972729,0.96553,-0.006923,0.000884,-0.007199,
182,0.971688,0.973633,0.965728,0.972549,0.000861,-0.001084,0.006821,
183,0.983638,0.976448,0.958279,0.976167,-0.007471,-0.000281,0.017888,
184,0.956307,0.941739,0.945896,0.954713,-0.001594,0.012974,0.008817,
185,0.978862,0.979617,0.971601,0.983687,0.004825,0.00407,0.012086,
186,0.989558,0.982603,0.963601,0.982464,-0.007094,-0.000139,0.018863,
187,0.973366,0.973451,0.959433,0.988324,0.014958,0.014873,0.028891,
188,0.987569,0.985473,0.978701,0.981781,-0.005788,-0.003692,0.00308,
189,0.986872,0.981132,0.973145,0.985248,-0.001624,0.004116,0.012103,
190,0.972605,0.968332,0.962914,0.970845,-0.00176,0.002513,0.007931,
191,0.967491,0.96111,0.971735,0.980188,0.012697,0.019078,0.008453,
192,0.980854,0.987866,0.959885,0.990518,0.009664,0.002652,0.030633,
193,0.958056,0.953769,0.975465,0.960866,0.00281,0.007097,-0.014599,
194,0.983331,0.981391,0.978666,0.97819,-0.005141,-0.003201,-0.000476,
195,0.967375,0.973963,0.931603,0.972703,0.005328,-0.00126,0.0411,
196,0.980844,0.979585,0.9811,0.97876,-0.002084,-0.000825,-0.00234,
197,0.972274,0.957786,0.836869,0.971442,-0.000832,0.013656,0.134573,
198,0.979124,0.963561,0.946445,0.978547,-0.000577,0.014986,0.032102,
199,0.980227,0.981485,0.96841,0.980717,0.00049,-0.000768,0.012307,
200,0.964427,0.975427,0.956225,0.975914,0.011487,0.000487,0.019689,
201,0.984302,0.980494,0.967776,0.982289,-0.002013,0.001795,0.014513,
202,0.93883,0.946397,0.937035,0.938847,0.000017,-0.00755,0.001812,
203,0.967675,0.96488,0.97414,0.955596,-0.012079,-0.009284,-0.018544,
204,0.972295,0.981224,0.951425,0.983929,0.011634,0.002705,0.032504,
205,0.940152,0.966609,0.952278,0.968416,0.028264,0.001807,0.016138,
206,0.972525,0.972634,0.955089,0.969663,-0.002862,-0.002971,0.014574,
207,0.977031,0.981794,0.931507,0.966409,-0.010622,-0.015385,0.034902,
208,0.974494,0.979967,0.969131,0.972127,-0.002367,-0.00784,0.002996,
209,0.974438,0.976182,0.969459,0.963358,-0.01108,-0.012824,-0.006101,
210,0.968389,0.953753,0.967742,0.981532,0.013143,0.027779,0.01379,
211,0.97781,0.971056,0.971846,0.961669,-0.016141,-0.009387,-0.010177,
212,0.948454,0.959916,0.980516,0.959621,0.011167,-0.000295,-0.020895,
213,0.979196,0.981793,0.95267,0.97306,-0.006136,-0.008733,0.02039,
