image_id,attunet_prnu_illum_iou,attunet_prnu_freq_iou,attenunet_freq_illum_iou,attenunet_all_iou,diff_prnu_illum_iou,diff_prnu_freq_iou,diff_freq_illum_iou,notes
94,0.952317,0.953763,0.951629,0.964298,0.011981,0.010535,0.012669,
95,0.932459,0.940828,0.877469,0.958931,0.026472,0.018103,0.081462,
96,0.946077,0.957173,0.931373,0.956657,0.01058,-0.000516,0.025284,
97,0.952795,0.906231,0.859772,0.949868,-0.002927,0.043637,0.090096,
98,0.961771,0.943083,0.967113,0.931289,-0.030482,-0.011794,-0.035824,
99,0.973211,0.964963,0.967755,0.935809,-0.037402,-0.029154,-0.031946,
100,0.956184,0.958838,0.946936,0.954183,-0.002001,-0.004655,0.007247,
101,0.929512,0.933386,0.91028,0.924647,-0.004865,-0.008739,0.014367,
102,0.950775,0.939515,0.955094,0.955283,0.004508,0.015768,0.000189,
103,0.94454,0.931895,0.953697,0.93998,-0.00456,0.008085,-0.013717,
104,0.970857,0.965517,0.951076,0.946031,-0.024826,-0.019486,-0.005045,
105,0.947123,0.934827,0.93342,0.943562,-0.003561,0.008735,0.010142,
106,0.965231,0.949673,0.936138,0.956373,-0.008858,0.0067,0.020235,
107,0.930604,0.91462,0.905524,0.930108,-0.000496,0.015488,0.024584,
108,0.973073,0.954895,0.950887,0.953481,-0.019592,-0.001414,0.002594,
109,0.939512,0.953216,0.957955,0.957447,0.017935,0.004231,-0.000508,
110,0.951243,0.969823,0.959125,0.957898,0.006655,-0.011925,-0.001227,
111,0.955192,0.934487,0.92057,0.95071,-0.004482,0.016223,0.03014,
112,0.948414,0.946862,0.923245,0.942432,-0.005982,-0.00443,0.019187,
113,0.886651,0.924929,0.845387,0.879377,-0.007274,-0.045552,0.03399,
114,0.959938,0.947304,0.943225,0.968789,0.008851,0.021485,0.025564,
115,0.946278,0.946771,0.926355,0.930248,-0.01603,-0.016523,0.003893,
116,0.929912,0.927826,0.927197,0.941841,0.011929,0.014015,0.014644,
117,0.933592,0.914331,0.904608,0.923742,-0.00985,0.009411,0.019134,
118,0.884175,0.903933,0.83531,0.829138,-0.055037,-0.074795,-0.006172,
119,0.948604,0.91003,0.910567,0.940621,-0.007983,0.030591,0.030054,
120,0.926284,0.958333,0.924801,0.942388,0.016104,-0.015945,0.017587,
121,0.963493,0.943652,0.941328,0.960586,-0.002907,0.016934,0.019258,
122,0.946738,0.941904,0.927442,0.931384,-0.015354,-0.01052,0.003942,
123,0.91664,0.935191,0.91515,0.929591,0.012951,-0.0056,0.014441,
124,0.923077,0.925731,0.918319,0.917158,-0.005919,-0.008573,-0.001161,
125,0.925831,0.904782,0.900511,0.921273,-0.004558,0.016491,0.020762,
126,0.9701,0.970078,0.957302,0.967359,-0.002741,-0.002719,0.010057,
127,0.949348,0.94729,0.910773,0.959404,0.010056,0.012114,0.048631,
128,0.967731,0.972982,0.963967,0.951543,-0.016188,-0.021439,-0.012424,
129,0.929004,0.930922,0.912804,0.931809,0.002805,0.000887,0.019005,
130,0.951046,0.933216,0.937149,0.953448,0.002402,0.020232,0.016299,
131,0.972549,0.964064,0.952044,0.92654,-0.046009,-0.037524,-0.025504,
132,0.967633,0.971807,0.915059,0.957588,-0.010045,-0.014219,0.042529,
133,0.949295,0.960831,0.929342,0.960663,0.011368,-0.000168,0.031321,
134,0,0,0,0,0,0,0,
135,0.926284,0.96077,0.862314,0.948162,0.021878,-0.012608,0.085848,
136,0.950963,0.904541,0.876194,0.964925,0.013962,0.060384,0.088731,
137,0.973845,0.953682,0.937866,0.973836,-0.000009,0.020154,0.03597,
138,0.925151,0.939729,0.918072,0.908696,-0.016455,-0.031033,-0.009376,
139,0.916565,0.943326,0.961088,0.977947,0.061382,0.034621,0.016859,
140,0.944633,0.961692,0.904114,0.964046,0.019413,0.002354,0.059932,
141,0.940176,0.93608,0.768055,0.903857,-0.036319,-0.032223,0.135802,
142,0.885825,0.905147,0.885733,0.926993,0.041168,0.021846,0.04126,
143,0.961285,0.948633,0.864025,0.938925,-0.02236,-0.009708,0.0749,
144,0.952891,0.961898,0.926227,0.94339,-0.009501,-0.018508,0.017163,
145,0.93441,0.966557,0.90816,0.934804,0.000394,-0.031753,0.026644,
146,0.956157,0.953496,0.940134,0.960723,0.004566,0.007227,0.020589,
147,0.895028,0.88018,0.933746,0.89287,-0.002158,0.01269,-0.040876,
148,0.954398,0.947506,0.953247,0.93099,-0.023408,-0.016516,-0.022257,
149,0.931267,0.927419,0.906586,0.954193,0.022926,0.026774,0.047607,
150,0.968905,0.970164,0.912917,0.953268,-0.015637,-0.016896,0.040351,
151,0.92367,0.925301,0.92376,0.896006,-0.027664,-0.029295,-0.027754,
152,0.923403,0.940138,0.964688,0.963401,0.039998,0.023263,-0.001287,
153,0.956002,0.954789,0.941586,0.948747,-0.007255,-0.006042,0.007161,
154,0.965555,0.969057,0.94414,0.964299,-0.001256,-0.004758,0.020159,
155,0.944407,0.915488,0.934492,0.96609,0.021683,0.050602,0.031598,
156,0.952175,0.889006,0.928748,0.921344,-0.030831,0.032338,-0.007404,
157,0.934246,0.910231,0.9261,0.924021,-0.010225,0.01379,-0.002079,
158,0.974395,0.906841,0.953652,0.945946,-0.028449,0.039105,-0.007706,
159,0.92448,0.941697,0.922722,0.937179,0.012699,-0.004518,0.014457,
160,0.911623,0.893082,0.8624,0.929795,0.018172,0.036713,0.067395,
161,0.966036,0.966585,0.949345,0.9609,-0.005136,-0.005685,0.011555,
162,0.95951,0.967885,0.91655,0.961969,0.002459,-0.005916,0.045419,
163,0.955972,0.944824,0.876195,0.943683,-0.012289,-0.001141,0.067488,
164,0.796568,0.735466,0.722977,0.776266,-0.020302,0.0408,0.053289,
165,0.976119,0.976021,0.950562,0.970741,-0.005378,-0.00528,0.020179,
166,0.936306,0.944344,0.912489,0.947304,0.010998,0.00296,0.034815,
167,0.972382,0.968846,0.920341,0.966717,-0.005665,-0.002129,0.046376,
168,0.944018,0.951985,0.936782,0.921101,-0.022917,-0.030884,-0.015681,
169,0.973746,0.971755,0.924579,0.980372,0.006626,0.008617,0.055793,
170,0.944083,0.946975,0.883491,0.957246,0.013163,0.010271,0.073755,
171,0.973626,0.951103,0.944546,0.970481,-0.003145,0.019378,0.025935,
172,0.950676,0.913219,0.935529,0.904356,-0.04632,-0.008863,-0.031173,
173,0.925977,0.942407,0.920474,0.940597,0.01462,-0.00181,0.020123,
174,0.918264,0.937356,0.928433,0.928544,0.01028,-0.008812,0.000111,
175,0.969325,0.940983,0.91012,0.959066,-0.010259,0.018083,0.048946,
176,0.944049,0.944706,0.938204,0.944887,0.000838,0.000181,0.006683,
177,0.919788,0.914407,0.884839,0.904496,-0.015292,-0.009911,0.019657,
178,0.936403,0.954213,0.935471,0.928626,-0.007777,-0.025587,-0.006845,
179,0.851221,0.961761,0.707388,0.90625,0.055029,-0.055511,0.198862,
180,0.939793,0.962025,0.905831,0.940601,0.000808,-0.021424,0.03477,
181,0.946384,0.931706,0.946906,0.933357,-0.013027,0.001651,-0.013549,
182,0.944935,0.94862,0.933728,0.946565,0.00163,-0.002055,0.012837,
183,0.967804,0.95398,0.919899,0.953444,-0.01436,-0.000536,0.033545,
184,0.916272,0.889892,0.897345,0.913351,-0.002921,0.023459,0.016006,
185,0.958599,0.960048,0.944771,0.967897,0.009298,0.007849,0.023126,
186,0.979332,0.965801,0.929759,0.965532,-0.0138,-0.000269,0.035773,
187,0.948113,0.948276,0.922029,0.976917,0.028804,0.028641,0.054888,
188,0.975443,0.971361,0.958291,0.964213,-0.01123,-0.007148,0.005922,
189,0.974084,0.962963,0.947694,0.970924,-0.00316,0.007961,0.02323,
190,0.946671,0.938608,0.928481,0.943343,-0.003328,0.004735,0.014862,
191,0.93703,0.925132,0.945024,0.961146,0.024116,0.036014,0.016122,
192,0.962427,0.976022,0.922864,0.981213,0.018786,0.005191,0.058349,
193,0.91949,0.911624,0.952106,0.924679,0.005189,0.013055,-0.027427,
194,0.967208,0.963462,0.958224,0.957311,-0.009897,-0.006151,-0.000913,
195,0.936812,0.949247,0.871964,0.946856,0.010044,-0.002391,0.074892,
196,0.962409,0.959987,0.962902,0.958403,-0.004006,-0.001584,-0.004499,
197,0.946043,0.918992,0.719496,0.94447,-0.001573,0.025478,0.224974,
198,0.959101,0.929684,0.898335,0.957995,-0.001106,0.028311,0.05966,
199,0.961221,0.963643,0.938754,0.962164,0.000943,-0.001479,0.02341,
200,0.931298,0.952033,0.916121,0.95296,0.021662,0.000927,0.036839,
201,0.96909,0.961734,0.937564,0.965194,-0.003896,0.00346,0.02763,
202,0.884713,0.898248,0.881529,0.884743,0.00003,-0.013505,0.003214,
203,0.937375,0.932143,0.949583,0.914969,-0.022406,-0.017174,-0.034614,
204,0.946083,0.96314,0.90735,0.968367,0.022284,0.005227,0.061017,
205,0.887063,0.935376,0.908903,0.938767,0.051704,0.003391,0.029864,
206,0.94652,0.946726,0.914039,0.941112,-0.005408,-0.005614,0.027073,
207,0.955093,0.964239,0.871795,0.935002,-0.020091,-0.029237,0.063207,
208,0.950257,0.960721,0.94011,0.945766,-0.004491,-0.014955,0.005656,
209,0.95015,0.953473,0.940728,0.929306,-0.020844,-0.024167,-0.011422,
210,0.938714,0.911594,0.9375,0.963735,0.025021,0.052141,0.026235,
211,0.956584,0.943741,0.945235,0.926168,-0.030416,-0.017573,-0.019067,
212,0.901961,0.922922,0.961777,0.922376,0.020415,-0.000546,-0.039401,
213,0.95924,0.964237,0.909617,0.947534,-0.011706,-0.016703,0.037917,
214,0.931228,0.929142,0.885724,0.914226,-0.017002,-0.014916,0.028502,
215,0.959257,0.97434,0.915315,0.958289,-0.000968,-0.016051,0.042974,
216,0.953815,0.951942,0.957637,0.94645,-0.007365,-0.005492,-0.011187,
217,0.930651,0.959795,0.795652,0.957126,0.026475,-0.002669,0.161474,
218,0.967914,0.972549,0.924561,0.950697,-0.017217,-0.021852,0.026136,
219,0.960081,0.973729,0.948925,0.961109,0.001028,-0.01262,0.012184,
220,0.89884,0.913012,0.96336,0.942082,0.043242,0.02907,-0.021278,
221,0.975952,0.973342,0.958742,0.968201,-0.007751,-0.005141,0.009459,
222,0.958035,0.969421,0.934919,0.946247,-0.011788,-0.023174,0.011328,
223,0.907377,0.787494,0.770202,0.874169,-0.033208,0.086675,0.103967,
224,0.923699,0.920852,0.893617,0.864865,-0.058834,-0.055987,-0.028752,
225,0.967696,0.941626,0.967184,0.942877,-0.024819,0.001251,-0.024307,
226,0.956829,0.953961,0.956194,0.955245,-0.001584,0.001284,-0.000949,
227,0.968701,0.951693,0.800303,0.923222,-0.045479,-0.028471,0.122919,
228,0.962305,0.971929,0.951672,0.96221,-0.000095,-0.009719,0.010538,
229,0.960343,0.935208,0.945319,0.959006,-0.001337,0.023798,0.013687,
230,0.945059,0.941909,0.941339,0.943131,-0.001928,0.001222,0.001792,
231,0.942782,0.975943,0.880711,0.904882,-0.0379,-0.071061,0.024171,
232,0.84633,0.864844,0.817684,0.826837,-0.019493,-0.038007,0.009153,
233,0.948269,0.946881,0.934075,0.926471,-0.021798,-0.02041,-0.007604,
234,0.958812,0.953299,0.949256,0.942451,-0.016361,-0.010848,-0.006805,
235,0.921541,0.952933,0.921128,0.921254,-0.000287,-0.031679,0.000126,
236,0.902511,0.91354,0.892157,0.926306,0.023795,0.012766,0.034149,
237,0.960204,0.9589,0.908579,0.950287,-0.009917,-0.008613,0.041708,
238,0.963117,0.971,0.959177,0.958293,-0.004824,-0.012707,-0.000884,
239,0.958187,0.965394,0.953741,0.962204,0.004017,-0.00319,0.008463,
240,0.925697,0.938403,0.883054,0.946518,0.020821,0.008115,0.063464,
241,0.927536,0.944114,0.901146,0.929778,0.002242,-0.014336,0.028632,
242,0.948897,0.920225,0.897002,0.93852,-0.010377,0.018295,0.041518,
243,0.976866,0.966518,0.966171,0.967694,-0.009172,0.001176,0.001523,
244,0.939777,0.956923,0.863119,0.956061,0.016284,-0.000862,0.092942,
245,0.951107,0.942295,0.917148,0.94865,-0.002457,0.006355,0.031502,
246,0.947626,0.934917,0.912908,0.932005,-0.015621,-0.002912,0.019097,
247,0.94129,0.962863,0.88475,0.944166,0.002876,-0.018697,0.059416,
248,0.951134,0.934092,0.89936,0.924169,-0.026965,-0.009923,0.024809,
249,0.966936,0.965905,0.958695,0.967247,0.000311,0.001342,0.008552,
250,0.932263,0.916925,0.937691,0.937402,0.005139,0.020477,-0.000289,
251,0.949344,0.944729,0.922064,0.961302,0.011958,0.016573,0.039238,
252,0.957143,0.950893,0.936123,0.930131,-0.027012,-0.020762,-0.005992,
253,0.945215,0.963201,0.955579,0.955072,0.009857,-0.008129,-0.000507,
254,0.978762,0.973304,0.946559,0.963415,-0.015347,-0.009889,0.016856,
255,0.903387,0.940699,0.907033,0.912693,0.009306,-0.028006,0.00566,
256,0.919132,0.954255,0.884205,0.927032,0.0079,-0.027223,0.042827,
257,0.905838,0.928616,0.925125,0.923173,0.017335,-0.005443,-0.001952,
258,0.945677,0.936655,0.865782,0.943951,-0.001726,0.007296,0.078169,
259,0.975037,0.965967,0.917486,0.972303,-0.002734,0.006336,0.054817,
260,0.9375,0.911579,0.936408,0.925837,-0.011663,0.014258,-0.010571,
261,0.949188,0.922117,0.828406,0.931563,-0.017625,0.009446,0.103157,
262,0.937057,0.963636,0.917677,0.943295,0.006238,-0.020341,0.025618,
263,0.929735,0.925738,0.92807,0.938923,0.009188,0.013185,0.010853,
264,0.956191,0.957664,0.917014,0.941575,-0.014616,-0.016089,0.024561,
265,0.874514,0.880047,0.872572,0.922478,0.047964,0.042431,0.049906,
266,0.939352,0.946022,0.949543,0.929839,-0.009513,-0.016183,-0.019704,
267,0.954708,0.942597,0.912786,0.91692,-0.037788,-0.025677,0.004134,
268,0.916228,0.932252,0.907503,0.964729,0.048501,0.032477,0.057226,
269,0.912778,0.94765,0.901536,0.951332,0.038554,0.003682,0.049796,
270,0.966964,0.970373,0.924443,0.964026,-0.002938,-0.006347,0.039583,
271,0.927018,0.934721,0.884306,0.918288,-0.00873,-0.016433,0.033982,
272,0.947576,0.9292,0.939893,0.92053,-0.027046,-0.00867,-0.019363,
273,0.938225,0.932152,0.900867,0.967041,0.028816,0.034889,0.066174,
274,0.958022,0.952381,0.961417,0.966443,0.008421,0.014062,0.005026,
275,0.934181,0.946164,0.916448,0.933932,-0.000249,-0.012232,0.017484,
276,0.976014,0.963407,0.963153,0.972709,-0.003305,0.009302,0.009556,
277,0.930086,0.916764,0.894798,0.909192,-0.020894,-0.007572,0.014394,
278,0.946033,0.970479,0.935569,0.965207,0.019174,-0.005272,0.029638,
279,0.963781,0.972615,0.931019,0.945319,-0.018462,-0.027296,0.0143,
280,0.969349,0.933168,0.953768,0.959755,-0.009594,0.026587,0.005987,
281,0.941995,0.954912,0.949379,0.95098,0.008985,-0.003932,0.001601,
282,0.945107,0.94807,0.911293,0.960964,0.015857,0.012894,0.049671,
283,0.952365,0.970949,0.949223,0.961339,0.008974,-0.00961,0.012116,
284,0.95886,0.978747,0.952245,0.962345,0.003485,-0.016402,0.0101,
285,0.923428,0.898896,0.923478,0.947425,0.023997,0.048529,0.023947,
286,0.940411,0.930541,0.943742,0.965789,0.025378,0.035248,0.022047,
287,0.941761,0.935277,0.95595,0.922572,-0.019189,-0.012705,-0.033378,
288,0.91567,0.926195,0.867441,0.926644,0.010974,0.000449,0.059203,
289,0.976134,0.968307,0.943851,0.960416,-0.015718,-0.007891,0.016565,
290,0.951329,0.959944,0.912763,0.962113,0.010784,0.002169,0.04935,
291,0.946887,0.96344,0.966019,0.949153,0.002266,-0.014287,-0.016866,
292,0.905891,0.914909,0.937544,0.933471,0.02758,0.018562,-0.004073,
293,0.977822,0.981358,0.957398,0.98798,0.010158,0.006622,0.030582,
294,0.943286,0.943217,0.973548,0.930254,-0.013032,-0.012963,-0.043294,
295,0.93493,0.954072,0.951966,0.932787,-0.002143,-0.021285,-0.019179,
296,0.933543,0.945647,0.911326,0.943336,0.009793,-0.002311,0.03201,
297,0.95151,0.959118,0.878301,0.963533,0.012023,0.004415,0.085232,
298,0.957787,0.958864,0.942029,0.954122,-0.003665,-0.004742,0.012093,
299,0.934681,0.959368,0.937834,0.944589,0.009908,-0.014779,0.006755,
300,0.934885,0.9437,0.953669,0.931968,-0.002917,-0.011732,-0.021701,
301,0.966978,0.956262,0.957933,0.97372,0.006742,0.017458,0.015787,
302,0.941834,0.93061,0.956541,0.892388,-0.049446,-0.038222,-0.064153,
303,0.941702,0.942755,0.926573,0.941533,-0.000169,-0.001222,0.01496,
304,0.951256,0.976319,0.951416,0.966282,0.015026,-0.010037,0.014866,
305,0.970238,0.964931,0.948021,0.961379,-0.008859,-0.003552,0.013358,
306,0.962095,0.949464,0.94941,0.931481,-0.030614,-0.017983,-0.017929,
307,0.970135,0.984943,0.952726,0.972665,0.00253,-0.012278,0.019939,
308,0.965411,0.937729,0.951573,0.944649,-0.020762,0.00692,-0.006924,
309,0.941198,0.953795,0.920084,0.939177,-0.002021,-0.014618,0.019093,
310,0.933257,0.93379,0.878389,0.926662,-0.006595,-0.007128,0.048273,
311,0.936412,0.943685,0.955429,0.930186,-0.006226,-0.013499,-0.025243,
312,0.94917,0.940262,0.953472,0.956522,0.007352,0.01626,0.00305,
313,0.94035,0.940062,0.855773,0.957586,0.017236,0.017524,0.101813,
314,0.945294,0.96129,0.729046,0.930824,-0.01447,-0.030466,0.201778,
315,0.974888,0.945337,0.963839,0.965057,-0.009831,0.01972,0.001218,
316,0.952639,0.940198,0.93318,0.935128,-0.017511,-0.00507,0.001948,
317,0.948527,0.954592,0.880572,0.954346,0.005819,-0.000246,0.073774,
318,0.949103,0.962434,0.950083,0.94903,-0.000073,-0.013404,-0.001053,
319,0.953959,0.935807,0.958904,0.947095,-0.006864,0.011288,-0.011809,
320,0.95258,0.945446,0.929437,0.935462,-0.017118,-0.009984,0.006025,
321,0.952747,0.951921,0.872933,0.956989,0.004242,0.005068,0.084056,
322,0.853632,0.873525,0.910218,0.829801,-0.023831,-0.043724,-0.080417,
323,0.930444,0.958819,0.885363,0.901529,-0.028915,-0.05729,0.016166,
324,0.931999,0.946309,0.925926,0.927763,-0.004236,-0.018546,0.001837,
325,0.926222,0.920639,0.759847,0.956147,0.029925,0.035508,0.1963,
326,0.936193,0.963178,0.948911,0.948542,0.012349,-0.014636,-0.000369,
327,0.963716,0.955525,0.963225,0.96452,0.000804,0.008995,0.001295,
328,0.958488,0.978364,0.92472,0.951129,-0.007359,-0.027235,0.026409,
329,0.949319,0.95156,0.913485,0.949283,-0.000036,-0.002277,0.035798,
330,0.973621,0.964181,0.919027,0.953867,-0.019754,-0.010314,0.03484,
331,0.904831,0.931009,0.902697,0.908481,0.00365,-0.022528,0.005784,
332,0.947695,0.952078,0.930175,0.901503,-0.046192,-0.050575,-0.028672,
333,0.955361,0.939888,0.920234,0.949865,-0.005496,0.009977,0.029631,
334,0.901612,0.935354,0.96031,0.911573,0.009961,-0.023781,-0.048737,
335,0.94866,0.945232,0.940415,0.914268,-0.034392,-0.030964,-0.026147,
336,0.929163,0.952941,0.916667,0.952965,0.023802,0.000024,0.036298,
337,0.934882,0.937268,0.943408,0.935413,0.000531,-0.001855,-0.007995,
338,0.951767,0.92381,0.928535,0.93266,-0.019107,0.00885,0.004125,
339,0.949457,0.964629,0.93025,0.972669,0.023212,0.00804,0.042419,
340,0.956468,0.963351,0.955969,0.959067,0.002599,-0.004284,0.003098,
341,0.888965,0.930868,0.858352,0.943151,0.054186,0.012283,0.084799,
342,0.934937,0.949787,0.804813,0.924768,-0.010169,-0.025019,0.119955,
343,0.957742,0.965744,0.961001,0.955012,-0.00273,-0.010732,-0.005989,
344,0.969538,0.973495,0.948041,0.956894,-0.012644,-0.016601,0.008853,
345,0.933666,0.918374,0.855453,0.878906,-0.05476,-0.039468,0.023453,
346,0.967039,0.945241,0.936955,0.959481,-0.007558,0.01424,0.022526,
347,0.954671,0.933388,0.940118,0.930943,-0.023728,-0.002445,-0.009175,
348,0.915415,0.919115,0.873916,0.946738,0.031323,0.027623,0.072822,
349,0.912924,0.923202,0.846978,0.89989,-0.013034,-0.023312,0.052912,
