image_id,unetpp_prnu_illum_iou,unetpp_prnu_illum_dice,unetpp_prnu_illum_bf_score,unetpp_prnu_freq_iou,unetpp_prnu_freq_dice,unetpp_prnu_freq_bf_score,unetpp_freq_illum_iou,unetpp_freq_illum_dice,unetpp_freq_illum_bf_score,unetpp_all_iou,unetpp_all_dice,unetpp_all_bf_score,notes
314,0.943657,0.971012,1,0.938887,0.96848,1,0.737598,0.848986,0.584484,0.963921,0.981629,1,
315,0.940672,0.969429,1,0.948288,0.973458,1,0.965917,0.982663,1,0.97337,0.986505,1,
316,0.957696,0.978391,1,0.955244,0.97711,1,0.947581,0.973085,1,0.954751,0.976852,1,
317,0.96493,0.982152,1,0.957346,0.978208,1,0.884171,0.938525,0.861469,0.970746,0.985156,1,
318,0.967191,0.983322,1,0.967088,0.983269,1,0.957412,0.978243,1,0.957867,0.97848,1,
319,0.9494,0.974043,1,0.967,0.983223,1,0.909202,0.952442,0.96884,0.937712,0.967855,1,
320,0.94375,0.971061,0.87585,0.933886,0.965813,0.862547,0.940101,0.969126,0.956044,0.947114,0.972839,1,
321,0.903131,0.9491,0.715243,0.94826,0.973443,0.990825,0.860202,0.924848,0.659617,0.957496,0.978287,0.993103,
322,0.848987,0.918326,0.591733,0.856226,0.922545,0.63437,0.885663,0.939365,0.713469,0.850554,0.919243,0.585693,
323,0.925829,0.961486,0.819914,0.932044,0.964827,0.979879,0.945565,0.972021,0.972056,0.91891,0.957742,0.806344,
324,0.952205,0.975517,1,0.928725,0.963046,0.977062,0.941531,0.969885,0.94348,0.947828,0.973215,1,
325,0.902003,0.948477,0.745297,0.943372,0.970861,1,0.819217,0.900626,0.434809,0.927146,0.962196,0.947618,
326,0.963686,0.981507,1,0.956844,0.977946,0.995086,0.918478,0.957507,0.866943,0.941942,0.970103,0.921351,
327,0.96213,0.980699,1,0.972802,0.986214,1,0.965821,0.982614,1,0.954895,0.976927,0.975122,
328,0.943415,0.970884,0.977838,0.955728,0.977363,1,0.942761,0.970537,0.966567,0.938659,0.968359,0.911099,
329,0.964306,0.981829,1,0.959565,0.979365,1,0.914607,0.955399,0.844216,0.952091,0.975458,0.995049,
330,0.97127,0.985426,1,0.963151,0.98123,1,0.958665,0.978896,1,0.97915,0.989465,1,
331,0.923132,0.96003,0.856699,0.938903,0.968489,0.959654,0.903363,0.949228,0.771863,0.915121,0.95568,0.840968,
332,0.932574,0.965111,0.894524,0.956256,0.977639,0.977827,0.949218,0.973947,1,0.937669,0.967832,0.946384,
333,0.948712,0.973681,0.96868,0.956512,0.977773,1,0.958212,0.97866,1,0.953592,0.976245,1,
334,0.926614,0.961909,0.987261,0.916811,0.9566,0.969471,0.922339,0.959601,0.962839,0.881562,0.937054,0.777843,
335,0.936056,0.966972,0.904182,0.926433,0.961812,0.919786,0.943727,0.971049,0.983605,0.941454,0.969844,0.981631,
336,0.949902,0.974307,1,0.950101,0.974412,1,0.90559,0.950456,0.780456,0.957398,0.978235,1,
337,0.954887,0.976923,1,0.924721,0.960889,0.828174,0.918231,0.957373,0.848168,0.929098,0.963246,0.905381,
338,0.940963,0.969584,0.933099,0.943913,0.971147,0.962082,0.899508,0.947096,0.821788,0.942333,0.97031,0.956943,
339,0.964007,0.981674,1,0.969435,0.98448,1,0.927953,0.96263,0.956721,0.956052,0.977532,1,
340,0.949389,0.974038,1,0.957431,0.978253,0.990653,0.947712,0.973154,1,0.943644,0.971005,1,
341,0.948903,0.973782,0.981395,0.920863,0.958801,0.811964,0.845117,0.916058,0.520362,0.936423,0.967168,0.91711,
342,0.923061,0.959991,0.766838,0.929437,0.963428,0.888682,0.836635,0.911052,0.433684,0.95051,0.974627,0.863557,
343,0.961513,0.980379,1,0.947525,0.973055,1,0.962719,0.981005,1,0.965769,0.982587,1,
344,0.974423,0.987046,1,0.962676,0.980983,1,0.949454,0.974071,0.984859,0.974267,0.986966,1,
345,0.855035,0.921853,0.747985,0.952904,0.975884,1,0.828862,0.906424,0.62464,0.956412,0.97772,1,
346,0.953769,0.976338,1,0.953451,0.976171,1,0.949233,0.973956,1,0.970029,0.984787,1,
347,0.956632,0.977835,1,0.942002,0.970135,0.819607,0.940769,0.969481,0.918833,0.917571,0.957014,0.79711,
348,0.922599,0.959741,0.94198,0.933654,0.965689,0.968,0.904702,0.949967,0.877005,0.934141,0.965949,0.963148,
349,0.918246,0.957381,0.960323,0.893629,0.943827,0.830179,0.894533,0.944331,0.801262,0.924333,0.960679,0.955655,
350,0.898587,0.946585,0.8,0.933036,0.965358,0.94571,0.932321,0.964975,0.990266,0.929054,0.963222,0.908032,
351,0.966796,0.983118,1,0.966762,0.9831,1,0.905258,0.950273,0.816578,0.970053,0.984799,1,
352,0.961146,0.980188,1,0.972034,0.985818,1,0.944509,0.971463,1,0.967499,0.983481,1,
353,0.9204,0.95855,0.896861,0.88323,0.937995,0.721942,0.954783,0.976869,1,0.9193,0.957953,0.875895,
354,0.971028,0.985301,1,0.976482,0.988101,1,0.964828,0.982099,1,0.971327,0.985455,1,
355,0.916239,0.956289,0.808676,0.933678,0.965702,0.891151,0.921518,0.959156,1,0.931148,0.964347,0.986266,
356,0.95097,0.974869,0.898282,0.959641,0.979405,0.991304,0.931195,0.964372,0.885257,0.943512,0.970935,0.891989,
357,0.944495,0.971455,1,0.893341,0.943666,0.743053,0.914671,0.955434,0.923068,0.94588,0.972187,0.984733,
358,0.932512,0.965077,0.94731,0.932015,0.964811,0.862096,0.900836,0.947832,0.863251,0.939422,0.968765,1,
359,0.892439,0.943163,0.726671,0.888741,0.941094,0.774865,0.860863,0.92523,0.600848,0.926537,0.961868,0.823984,
360,0.970499,0.985029,1,0.973375,0.986508,1,0.928769,0.963069,1,0.972776,0.9862,1,
361,0.951646,0.975224,1,0.962362,0.98082,0.994778,0.890951,0.942331,0.837478,0.930572,0.964037,0.936085,
362,0.966117,0.982767,1,0.982205,0.991023,1,0.962629,0.980959,1,0.955347,0.977164,1,
363,0.85345,0.920931,0.625246,0.877076,0.934513,0.790095,0.878066,0.935075,0.808408,0.837004,0.911271,0.593027,
364,0.960845,0.980032,1,0.93634,0.967124,0.959358,0.96052,0.979862,1,0.963418,0.981368,1,
365,0.940586,0.969384,0.917671,0.950422,0.974581,1,0.930119,0.963794,0.922914,0.955334,0.977157,1,
366,0.944103,0.971248,0.912385,0.971092,0.985334,1,0.967525,0.983495,1,0.954957,0.97696,0.966184,
367,0.962572,0.980929,1,0.953663,0.976282,1,0.925645,0.961387,0.994472,0.950357,0.974547,1,
368,0.940673,0.969429,0.984209,0.959987,0.979585,1,0.923506,0.960232,1,0.96205,0.980658,1,
369,0.958345,0.97873,1,0.965646,0.982523,1,0.950187,0.974457,1,0.961538,0.980392,1,
370,0.937942,0.967978,1,0.933829,0.965782,0.968088,0.930031,0.963747,0.848204,0.926484,0.961839,0.91327,
371,0.971002,0.985288,1,0.970036,0.98479,1,0.94371,0.97104,0.934948,0.977076,0.988405,1,
372,0.947919,0.973263,0.982397,0.921208,0.958988,0.894933,0.92178,0.959298,0.823044,0.948886,0.973773,1,
373,0.9484,0.973517,0.992974,0.954746,0.976849,1,0.956166,0.977592,1,0.923797,0.96039,0.900896,
374,0.794539,0.885508,0.638889,0.859977,0.924718,0.655994,0.952817,0.975839,0.941854,0.877085,0.934518,0.788546,
375,0.957002,0.978029,1,0.947679,0.973137,1,0.890489,0.942073,0.775266,0.975117,0.987402,1,
376,0.957905,0.9785,1,0.967314,0.983386,1,0.941356,0.969792,0.909459,0.957323,0.978196,1,
377,0.782748,0.878136,0.641584,0.775316,0.87344,0.428373,0.81263,0.896631,0.553467,0.817507,0.899592,0.628153,
378,0.921271,0.959023,0.913899,0.918033,0.957265,0.989898,0.889739,0.941653,0.74239,0.943797,0.971086,0.979744,
379,0.915068,0.955651,0.82,0.892455,0.943172,0.75702,0.894649,0.944396,0.798024,0.922515,0.959696,0.819522,
380,0.961346,0.980292,1,0.93404,0.965895,1,0.955928,0.977467,1,0.960909,0.980065,1,
381,0.953719,0.976311,0.958236,0.963899,0.981618,1,0.941106,0.969659,0.934534,0.968571,0.984035,1,
382,0.775024,0.873255,0.456291,0.699826,0.823409,0.257492,0.851425,0.919751,0.497607,0.493643,0.660992,0.228522,
383,0.936276,0.967089,0.896217,0.898647,0.946618,0.829638,0.942904,0.970613,0.910645,0.938657,0.968358,0.891037,
384,0.940143,0.969148,0.970294,0.925615,0.961371,0.864867,0.971223,0.985401,1,0.933406,0.965556,0.916435,
385,0.913806,0.954962,0.887065,0.902518,0.948762,0.994394,0.914486,0.955333,0.937289,0.92268,0.959786,0.955021,
386,0.946854,0.972701,1,0.966328,0.982876,1,0.942513,0.970406,1,0.959742,0.979458,1,
387,0.966445,0.982936,1,0.959288,0.979221,1,0.931338,0.964448,0.994885,0.941558,0.9699,0.98969,
