image_id,attenunet_prnu_illum_iou,attenunet_prnu_illum_dice,attenunet_prnu_illum_bf_score,attenunet_prnu_freq_iou,attenunet_prnu_freq_dice,attenunet_prnu_freq_bf_score,attenunet_freq_illum_iou,attenunet_freq_illum_dice,attenunet_freq_illum_bf_score,attenunet_all_iou,attenunet_all_dice,attenunet_all_bf_score,notes
27,0.934485,0.966133,0.988604,0.94659,0.972562,1,0.791852,0.883836,0.531829,0.94347,0.970913,1,
28,0.944075,0.971233,0.915524,0.956429,0.977729,1,0.954093,0.976507,1,0.906703,0.951069,0.86044,
29,0.933549,0.965633,1,0.914376,0.955273,0.941689,0.936051,0.966969,1,0.896637,0.945502,0.898009,
30,0.960262,0.979728,1,0.960087,0.979637,1,0.933608,0.965664,1,0.972572,0.986095,1,
31,0.955337,0.977158,1,0.956621,0.97783,1,0.939864,0.969,1,0.954927,0.976944,1,
32,0.920833,0.958785,1,0.870093,0.930535,0.701847,0.868347,0.929535,0.739093,0.855838,0.92232,0.745857,
33,0.90012,0.947435,0.866734,0.910364,0.953079,0.993937,0.807692,0.893617,0.674189,0.919841,0.958247,1,
34,0.929092,0.963243,1,0.85806,0.923608,0.624542,0.974587,0.98713,1,0.887988,0.940671,0.869887,
35,0.965852,0.982629,1,0.968761,0.984133,1,0.922581,0.959732,0.994252,0.971613,0.985602,1,
36,0.950568,0.974658,1,0.965901,0.982655,1,0.930542,0.964022,0.978479,0.95919,0.97917,1,
37,0.931818,0.964706,1,0.930878,0.964202,1,0.908822,0.952233,1,0.906189,0.950786,0.88487,
38,0.949807,0.974257,1,0.9517,0.975252,0.988338,0.936112,0.967002,1,0.957221,0.978143,1,
39,0.93288,0.965275,1,0.925705,0.961419,0.944234,0.828996,0.906504,0.600632,0.929327,0.963369,1,
40,0.960864,0.980041,1,0.95857,0.978847,1,0.94608,0.972293,1,0.959518,0.979341,1,
41,0.969192,0.984355,1,0.96558,0.982489,1,0.94086,0.969529,1,0.948431,0.973533,0.994286,
42,0.930378,0.963933,1,0.916855,0.956624,0.872863,0.953199,0.976039,1,0.933508,0.965611,0.955739,
43,0.967516,0.98349,1,0.954242,0.976585,1,0.917001,0.956704,0.884424,0.932287,0.964957,1,
44,0.9547,0.976825,1,0.957011,0.978033,1,0.933333,0.965517,1,0.949577,0.974136,1,
45,0.930581,0.964042,0.959398,0.926829,0.962025,0.988633,0.926784,0.962001,0.988372,0.919582,0.958106,0.936713,
46,0.892434,0.94316,0.932721,0.856624,0.922776,0.689462,0.915848,0.956076,0.98112,0.95045,0.974596,1,
47,0.956423,0.977726,1,0.960253,0.979724,1,0.967183,0.983318,1,0.960197,0.979694,1,
48,0.947047,0.972804,1,0.938931,0.968504,1,0.941826,0.970042,0.983813,0.956888,0.977969,1,
49,0.966425,0.982926,1,0.938927,0.968501,1,0.969771,0.984654,1,0.959159,0.979154,1,
50,0.944403,0.971407,1,0.942007,0.970138,1,0.91564,0.955963,1,0.963504,0.981413,1,
51,0.904445,0.949825,0.956827,0.909481,0.952595,0.925466,0.875865,0.933825,0.807857,0.871592,0.931391,0.801892,
52,0.976778,0.988253,1,0.964299,0.981825,1,0.960586,0.979897,1,0.942608,0.970456,0.959784,
53,0.957039,0.978048,1,0.937832,0.967919,1,0.893674,0.943852,0.80616,0.954755,0.976854,1,
54,0.968044,0.983763,1,0.972213,0.985911,1,0.927002,0.962119,0.907972,0.957018,0.978037,1,
55,0.891955,0.942892,0.817251,0.919588,0.95811,0.883038,0.871957,0.9316,0.692432,0.909797,0.952768,0.816721,
56,0.938456,0.968251,1,0.935055,0.966438,1,0.960252,0.979723,1,0.943498,0.970928,1,
57,0.925108,0.961097,0.99371,0.947069,0.972815,1,0.933946,0.965845,1,0.922654,0.959771,0.974996,
58,0.9588,0.978967,1,0.938407,0.968225,0.98214,0.946042,0.972273,0.98214,0.944048,0.971219,1,
59,0.939383,0.968744,1,0.950495,0.974619,1,0.918681,0.957617,0.916193,0.922483,0.959679,0.988473,
60,0.925226,0.961161,1,0.929334,0.963373,1,0.938038,0.968028,1,0.911085,0.953474,0.945593,
61,0.898145,0.94634,0.782114,0.927447,0.962358,0.938718,0.756388,0.861299,0.476744,0.920028,0.958348,0.82719,
62,0.965035,0.982206,1,0.965491,0.982442,1,0.909509,0.95261,0.864271,0.959646,0.979408,1,
63,0.942165,0.970221,1,0.923195,0.960064,0.982288,0.875198,0.933446,0.721212,0.917777,0.957126,0.86953,
64,0.972366,0.985989,1,0.965145,0.982263,1,0.970052,0.984798,1,0.968374,0.983933,1,
65,0.972366,0.985989,1,0.965145,0.982263,1,0.970052,0.984798,1,0.968374,0.983933,1,
66,0.936252,0.967077,0.994427,0.944327,0.971366,1,0.937249,0.967608,1,0.934403,0.966089,0.98319,
67,0.958972,0.979056,1,0.951363,0.975075,1,0.940076,0.969113,1,0.961491,0.980367,1,
68,0.975433,0.987564,1,0.963591,0.981458,1,0.968631,0.984066,1,0.946596,0.972565,1,
69,0.926324,0.961753,1,0.939727,0.968927,1,0.891967,0.942899,0.738142,0.939782,0.968956,1,
70,0.950938,0.974852,1,0.934349,0.96606,0.896614,0.931521,0.964547,1,0.956943,0.977998,1,
71,0.945411,0.97194,1,0.942592,0.970448,0.972294,0.932169,0.964894,0.98328,0.924458,0.960746,1,
72,0.944668,0.971547,0.985607,0.960332,0.979765,1,0.93923,0.968663,1,0.964156,0.981751,1,
73,0.958591,0.978858,0.982921,0.934449,0.966114,1,0.95207,0.975446,1,0.970962,0.985267,1,
74,0.969261,0.984391,1,0.975673,0.987687,1,0.975321,0.987506,1,0.967605,0.983536,1,
75,0.919229,0.957915,0.891634,0.952869,0.975866,1,0.932746,0.965203,1,0.939211,0.968653,1,
76,0.955405,0.977194,1,0.953431,0.97616,1,0.853072,0.920711,0.732813,0.914418,0.955296,0.959869,
77,0.945783,0.972136,1,0.928571,0.962963,1,0.881967,0.937282,0.874648,0.882374,0.937512,0.906895,
78,0.942728,0.97052,1,0.9666,0.983016,1,0.949203,0.97394,1,0.965654,0.982527,1,
79,0.961579,0.980413,1,0.959815,0.979496,1,0.967856,0.983665,1,0.953537,0.976216,1,
80,0.923692,0.960333,0.967121,0.940114,0.969133,1,0.872148,0.931708,0.836467,0.956982,0.978018,1,
81,0.957786,0.978438,1,0.945687,0.972085,1,0.947854,0.973229,1,0.951132,0.974954,1,
82,0.954792,0.976873,1,0.950054,0.974387,1,0.976259,0.987987,1,0.949426,0.974057,1,
83,0.951211,0.974995,1,0.934038,0.965894,0.982708,0.918588,0.957567,0.953887,0.935733,0.966799,0.962243,
84,0.960293,0.979744,1,0.957698,0.978392,1,0.962873,0.981085,1,0.961699,0.980476,1,
85,0.94386,0.971119,1,0.954959,0.97696,1,0.924809,0.960936,0.982401,0.911776,0.953852,0.970413,
86,0.963685,0.981507,1,0.963275,0.981294,1,0.873654,0.932567,0.777195,0.974925,0.987303,1,
87,0.974549,0.987111,1,0.961941,0.980602,1,0.928691,0.963027,0.994475,0.960208,0.9797,1,
88,0.969571,0.984551,1,0.949463,0.974077,1,0.945633,0.972057,1,0.97104,0.985307,1,
89,0.916464,0.956412,1,0.9329,0.965285,0.963727,0.824016,0.903518,0.574271,0.916158,0.956244,0.86474,
90,0.974594,0.987134,1,0.96281,0.981053,1,0.903238,0.949159,0.838898,0.965015,0.982196,1,
91,0.927935,0.96262,1,0.914348,0.955258,0.918412,0.913674,0.95489,0.985557,0.922189,0.95952,0.988265,
92,0.946515,0.972523,1,0.95638,0.977704,1,0.91711,0.956763,0.941512,0.954746,0.976849,1,
93,0.885331,0.939179,0.818713,0.929224,0.963314,1,0.892233,0.943048,0.906047,0.901815,0.948373,0.888735,
94,0.952317,0.975576,1,0.953763,0.976334,1,0.951629,0.975215,1,0.964298,0.981824,1,
95,0.932459,0.965049,0.958154,0.940828,0.969512,1,0.877469,0.934736,0.822627,0.958931,0.979035,1,
96,0.946077,0.972291,1,0.957173,0.978118,1,0.931373,0.964467,0.927309,0.956657,0.977849,1,
97,0.952795,0.975827,1,0.906231,0.950809,0.898824,0.859772,0.924599,0.743617,0.949868,0.97429,1,
98,0.961771,0.980513,1,0.943083,0.970708,1,0.967113,0.983282,1,0.931289,0.964422,1,
99,0.973211,0.986423,1,0.964963,0.982169,1,0.967755,0.983614,1,0.935809,0.96684,1,
100,0.956184,0.977601,1,0.958838,0.978986,1,0.946936,0.972745,1,0.954183,0.976554,1,
101,0.929512,0.963468,0.889665,0.933386,0.965545,0.941956,0.91028,0.953033,0.902779,0.924647,0.960848,0.956567,
102,0.950775,0.974767,1,0.939515,0.968814,0.994535,0.955094,0.977031,1,0.955283,0.97713,0.97814,
103,0.94454,0.971479,1,0.931895,0.964747,0.96408,0.953697,0.9763,1,0.93998,0.969062,1,
104,0.970857,0.985213,1,0.965517,0.982456,1,0.951076,0.974924,1,0.946031,0.972267,1,
105,0.947123,0.972844,1,0.934827,0.966316,0.99449,0.93342,0.965564,0.989011,0.943562,0.970962,1,
106,0.965231,0.982308,1,0.949673,0.974187,1,0.936138,0.967016,0.91798,0.956373,0.9777,1,
107,0.930604,0.964055,1,0.91462,0.955406,0.926513,0.905524,0.95042,0.915371,0.930108,0.963788,0.994099,
108,0.973073,0.986353,1,0.954895,0.976927,1,0.950887,0.974825,1,0.953481,0.976186,1,
109,0.939512,0.968813,1,0.953216,0.976048,1,0.957955,0.978526,1,0.957447,0.978261,1,
110,0.951243,0.975012,1,0.969823,0.984681,1,0.959125,0.979136,1,0.957898,0.978496,1,
111,0.955192,0.977082,1,0.934487,0.966134,1,0.92057,0.958643,0.957409,0.95071,0.974732,1,
112,0.948414,0.973524,0.958822,0.946862,0.972706,0.958574,0.923245,0.960091,0.962319,0.942432,0.970363,0.935483,
113,0.886651,0.93992,0.819964,0.924929,0.961,1,0.845387,0.916216,0.762841,0.879377,0.935818,0.735868,
114,0.959938,0.979559,1,0.947304,0.972939,1,0.943225,0.970783,1,0.968789,0.984147,1,
115,0.946278,0.972398,0.903797,0.946771,0.972658,0.978604,0.926355,0.96177,1,0.930248,0.963863,0.909145,
116,0.929912,0.963684,1,0.927826,0.962562,0.954296,0.927197,0.962223,1,0.941841,0.97005,1,
117,0.933592,0.965656,0.89306,0.914331,0.955249,0.987879,0.904608,0.949915,0.86028,0.923742,0.96036,0.909933,
118,0.884175,0.938528,0.778048,0.903933,0.949543,0.828083,0.83531,0.910266,0.60923,0.829138,0.906589,0.701522,
119,0.948604,0.973624,1,0.91003,0.952896,0.955795,0.910567,0.95319,0.921638,0.940621,0.969402,1,
120,0.926284,0.961732,1,0.958333,0.978723,1,0.924801,0.960931,0.970326,0.942388,0.97034,1,
121,0.963493,0.981407,1,0.943652,0.971009,0.988406,0.941328,0.969778,1,0.960586,0.979897,1,
122,0.946738,0.972641,1,0.941904,0.970083,1,0.927442,0.962355,1,0.931384,0.964473,1,
123,0.91664,0.956507,0.85875,0.935191,0.96651,0.994609,0.91515,0.955695,0.945637,0.929591,0.963511,1,
124,0.923077,0.96,0.907609,0.925731,0.961433,0.983694,0.918319,0.957421,0.906702,0.917158,0.956789,0.86686,
125,0.925831,0.961487,1,0.904782,0.950011,0.993787,0.900511,0.947652,0.843878,0.921273,0.959024,1,
126,0.9701,0.984823,1,0.970078,0.984812,1,0.957302,0.978185,1,0.967359,0.983409,1,
127,0.949348,0.974016,0.962436,0.94729,0.972931,1,0.910773,0.953303,1,0.959404,0.979282,1,
128,0.967731,0.983601,1,0.972982,0.986306,1,0.963967,0.981653,1,0.951543,0.97517,1,
129,0.929004,0.963195,0.902698,0.930922,0.964226,0.871951,0.912804,0.954415,0.933579,0.931809,0.964701,0.921136,
130,0.951046,0.974909,1,0.933216,0.965455,0.977464,0.937149,0.967555,1,0.953448,0.976169,1,
131,0.972549,0.986083,1,0.964064,0.981703,1,0.952044,0.975433,1,0.92654,0.961869,0.85299,
132,0.967633,0.983551,1,0.971807,0.985702,1,0.915059,0.955646,0.975226,0.957588,0.978335,1,
133,0.949295,0.973988,1,0.960831,0.980024,1,0.929342,0.963377,0.983514,0.960663,0.979937,1,
134,0,0,0,0,0,0,0,0,0,0,0,0,
135,0.926284,0.961732,0.994217,0.96077,0.979992,1,0.862314,0.926067,0.722045,0.948162,0.973391,1,
136,0.950963,0.974865,1,0.904541,0.949878,0.873898,0.876194,0.934012,0.780279,0.964925,0.982149,1,
137,0.973845,0.986749,1,0.953682,0.976292,1,0.937866,0.967937,0.989129,0.973836,0.986745,1,
138,0.925151,0.96112,0.970185,0.939729,0.968928,1,0.918072,0.957286,0.885465,0.908696,0.952164,0.909879,
139,0.916565,0.956466,0.900207,0.943326,0.970837,0.948818,0.961088,0.980158,1,0.977947,0.988851,1,
140,0.944633,0.971528,1,0.961692,0.980472,1,0.904114,0.949643,0.967002,0.964046,0.981694,1,
141,0.940176,0.969166,1,0.93608,0.966985,1,0.768055,0.868814,0.436658,0.903857,0.949501,0.893179,
142,0.885825,0.939456,0.901704,0.905147,0.950212,0.924513,0.885733,0.939404,0.750719,0.926993,0.962114,1,
143,0.961285,0.98026,1,0.948633,0.973639,1,0.864025,0.927053,0.860058,0.938925,0.968501,0.9264,
144,0.952891,0.975877,1,0.961898,0.980579,1,0.926227,0.961701,1,0.94339,0.97087,1,
145,0.93441,0.966093,0.929019,0.966557,0.982994,1,0.90816,0.95187,0.988974,0.934804,0.966303,1,
146,0.956157,0.977587,1,0.953496,0.976194,1,0.940134,0.969144,1,0.960723,0.979968,1,
147,0.895028,0.944606,0.759327,0.88018,0.936272,0.727357,0.933746,0.965738,0.959877,0.89287,0.943403,0.788628,
148,0.954398,0.976667,1,0.947506,0.973045,1,0.953247,0.976064,1,0.93099,0.964262,1,
149,0.931267,0.96441,0.972446,0.927419,0.962343,0.934066,0.906586,0.951005,0.899788,0.954193,0.97656,1,
150,0.968905,0.984207,1,0.970164,0.984856,1,0.912917,0.954476,0.977898,0.953268,0.976075,0.945044,
151,0.92367,0.960321,0.879116,0.925301,0.961202,0.856353,0.92376,0.960369,0.843373,0.896006,0.945151,0.798145,
152,0.923403,0.960176,0.85681,0.940138,0.969146,0.988164,0.964688,0.982027,1,0.963401,0.981359,1,
153,0.956002,0.977506,1,0.954789,0.976872,1,0.941586,0.969914,0.994082,0.948747,0.9737,1,
154,0.965555,0.982476,1,0.969057,0.984285,1,0.94414,0.971268,0.976977,0.964299,0.981825,1,
155,0.944407,0.971409,0.986435,0.915488,0.95588,0.978308,0.934492,0.966137,1,0.96609,0.982753,1,
156,0.952175,0.975502,1,0.889006,0.941242,0.863631,0.928748,0.963058,0.983095,0.921344,0.959062,1,
157,0.934246,0.966005,0.923537,0.910231,0.953006,0.934575,0.9261,0.961632,1,0.924021,0.96051,0.967331,
158,0.974395,0.987031,1,0.906841,0.951145,0.932137,0.953652,0.976276,1,0.945946,0.972222,1,
159,0.92448,0.960758,0.988401,0.941697,0.969973,0.982708,0.922722,0.959808,0.965812,0.937179,0.967571,1,
160,0.911623,0.953769,1,0.893082,0.943522,0.964991,0.8624,0.926117,0.733991,0.929795,0.963621,1,
161,0.966036,0.982725,1,0.966585,0.983009,1,0.949345,0.974014,1,0.9609,0.98006,1,
162,0.95951,0.979337,1,0.967885,0.983681,1,0.91655,0.956458,0.910274,0.961969,0.980616,1,
163,0.955972,0.97749,1,0.944824,0.971629,1,0.876195,0.934013,0.84814,0.943683,0.971025,1,
164,0.796568,0.886766,0.349756,0.735466,0.847572,0.269131,0.722977,0.839219,0.24557,0.776266,0.874043,0.284228,
165,0.976119,0.987915,1,0.976021,0.987865,1,0.950562,0.974654,1,0.970741,0.985153,1,
166,0.936306,0.967105,1,0.944344,0.971375,1,0.912489,0.954242,0.886542,0.947304,0.972939,1,
167,0.972382,0.985998,1,0.968846,0.984177,1,0.920341,0.958518,1,0.966717,0.983077,1,
168,0.944018,0.971203,1,0.951985,0.975402,1,0.936782,0.967359,1,0.921101,0.95893,0.938928,
169,0.973746,0.986698,1,0.971755,0.985675,1,0.924579,0.960812,0.980744,0.980372,0.990089,1,
170,0.944083,0.971237,1,0.946975,0.972766,1,0.883491,0.938142,0.904055,0.957246,0.978156,1,
171,0.973626,0.986637,1,0.951103,0.974939,1,0.944546,0.971482,1,0.970481,0.985019,1,
172,0.950676,0.974714,1,0.913219,0.954641,0.988981,0.935529,0.966691,0.983187,0.904356,0.949776,0.929125,
173,0.925977,0.961566,0.905847,0.942407,0.970349,1,0.920474,0.95859,0.972188,0.940597,0.96939,0.96143,
174,0.918264,0.95739,0.928883,0.937356,0.967665,1,0.928433,0.962889,0.920607,0.928544,0.962948,0.970495,
175,0.969325,0.984424,1,0.940983,0.969594,0.989097,0.91012,0.952945,0.916005,0.959066,0.979106,1,
176,0.944049,0.97122,1,0.944706,0.971567,1,0.938204,0.968117,1,0.944887,0.971662,1,
177,0.919788,0.958218,0.934774,0.914407,0.95529,0.967477,0.884839,0.938901,0.877512,0.904496,0.949854,0.940043,
178,0.936403,0.967157,1,0.954213,0.97657,1,0.935471,0.96666,0.994134,0.928626,0.962992,0.947455,
179,0.851221,0.919632,0.844988,0.961761,0.980508,1,0.707388,0.82862,0.48,0.90625,0.95082,1,
180,0.939793,0.968962,1,0.962025,0.980645,1,0.905831,0.950589,1,0.940601,0.969392,1,
181,0.946384,0.972453,1,0.931706,0.964646,1,0.946906,0.972729,1,0.933357,0.96553,0.943244,
182,0.944935,0.971688,0.928205,0.94862,0.973633,0.984614,0.933728,0.965728,0.937924,0.946565,0.972549,0.964099,
183,0.967804,0.983638,1,0.95398,0.976448,1,0.919899,0.958279,0.978315,0.953444,0.976167,0.962579,
184,0.916272,0.956307,0.891499,0.889892,0.941739,0.827318,0.897345,0.945896,0.881163,0.913351,0.954713,0.994818,
185,0.958599,0.978862,1,0.960048,0.979617,1,0.944771,0.971601,1,0.967897,0.983687,1,
186,0.979332,0.989558,1,0.965801,0.982603,1,0.929759,0.963601,0.96319,0.965532,0.982464,1,
187,0.948113,0.973366,1,0.948276,0.973451,1,0.922029,0.959433,0.952897,0.976917,0.988324,1,
188,0.975443,0.987569,1,0.971361,0.985473,1,0.958291,0.978701,1,0.964213,0.981781,1,
189,0.974084,0.986872,1,0.962963,0.981132,1,0.947694,0.973145,0.994382,0.970924,0.985248,1,
190,0.946671,0.972605,1,0.938608,0.968332,0.978604,0.928481,0.962914,1,0.943343,0.970845,0.994666,
191,0.93703,0.967491,0.976047,0.925132,0.96111,0.99422,0.945024,0.971735,1,0.961146,0.980188,1,
192,0.962427,0.980854,1,0.976022,0.987866,1,0.922864,0.959885,1,0.981213,0.990518,1,
193,0.91949,0.958056,1,0.911624,0.953769,1,0.952106,0.975465,1,0.924679,0.960866,0.981873,
194,0.967208,0.983331,1,0.963462,0.981391,1,0.958224,0.978666,1,0.957311,0.97819,1,
195,0.936812,0.967375,0.903867,0.949247,0.973963,0.994083,0.871964,0.931603,0.762534,0.946856,0.972703,1,
196,0.962409,0.980844,1,0.959987,0.979585,1,0.962902,0.9811,1,0.958403,0.97876,1,
197,0.946043,0.972274,1,0.918992,0.957786,0.95512,0.719496,0.836869,0.415421,0.94447,0.971442,1,
198,0.959101,0.979124,1,0.929684,0.963561,0.949365,0.898335,0.946445,0.980951,0.957995,0.978547,1,
199,0.961221,0.980227,1,0.963643,0.981485,1,0.938754,0.96841,1,0.962164,0.980717,1,
200,0.931298,0.964427,0.93366,0.952033,0.975427,1,0.916121,0.956225,0.926519,0.95296,0.975914,1,
201,0.96909,0.984302,1,0.961734,0.980494,1,0.937564,0.967776,1,0.965194,0.982289,1,
202,0.884713,0.93883,0.871747,0.898248,0.946397,0.837718,0.881529,0.937035,0.723633,0.884743,0.938847,0.830399,
203,0.937375,0.967675,1,0.932143,0.96488,1,0.949583,0.97414,1,0.914969,0.955596,0.96405,
204,0.946083,0.972295,1,0.96314,0.981224,1,0.90735,0.951425,0.988821,0.968367,0.983929,1,
205,0.887063,0.940152,0.803114,0.935376,0.966609,0.881967,0.908903,0.952278,0.94691,0.938767,0.968416,1,
206,0.94652,0.972525,1,0.946726,0.972634,1,0.914039,0.955089,0.929653,0.941112,0.969663,1,
207,0.955093,0.977031,1,0.964239,0.981794,1,0.871795,0.931507,0.682218,0.935002,0.966409,1,
208,0.950257,0.974494,1,0.960721,0.979967,1,0.94011,0.969131,0.983999,0.945766,0.972127,1,
209,0.95015,0.974438,0.934955,0.953473,0.976182,0.989099,0.940728,0.969459,0.983648,0.929306,0.963358,0.947975,
210,0.938714,0.968389,1,0.911594,0.953753,0.839187,0.9375,0.967742,1,0.963735,0.981532,1,
211,0.956584,0.97781,1,0.943741,0.971056,1,0.945235,0.971846,1,0.926168,0.961669,1,
212,0.901961,0.948454,0.876337,0.922922,0.959916,0.988889,0.961777,0.980516,1,0.922376,0.959621,1,
213,0.95924,0.979196,1,0.964237,0.981793,1,0.909617,0.95267,0.980951,0.947534,0.97306,1,
214,0.931228,0.96439,0.982885,0.929142,0.96327,1,0.885724,0.939399,0.790939,0.914226,0.955191,0.937576,
215,0.959257,0.979205,1,0.97434,0.987003,1,0.915315,0.955786,0.968349,0.958289,0.9787,1,
216,0.953815,0.976362,1,0.951942,0.97538,1,0.957637,0.97836,1,0.94645,0.972488,1,
217,0.930651,0.96408,1,0.959795,0.979485,1,0.795652,0.886199,0.507463,0.957126,0.978093,1,
218,0.967914,0.983696,1,0.972549,0.986083,1,0.924561,0.960802,0.926728,0.950697,0.974725,1,
219,0.960081,0.979634,1,0.973729,0.98669,1,0.948925,0.973793,1,0.961109,0.980169,1,
220,0.89884,0.946725,0.823656,0.913012,0.954528,0.947486,0.96336,0.981338,1,0.942082,0.970177,0.965308,
221,0.975952,0.98783,1,0.973342,0.986491,1,0.958742,0.978936,1,0.968201,0.983844,1,
222,0.958035,0.978568,1,0.969421,0.984473,1,0.934919,0.966365,0.989388,0.946247,0.972381,0.98129,
223,0.907377,0.95144,0.896451,0.787494,0.881115,0.499474,0.770202,0.870185,0.51054,0.874169,0.93286,0.920174,
224,0.923699,0.960336,0.99322,0.920852,0.958796,0.945247,0.893617,0.94382,0.917604,0.864865,0.927536,0.932419,
225,0.967696,0.983583,1,0.941626,0.969936,1,0.967184,0.983318,1,0.942877,0.970599,0.972297,
226,0.956829,0.977939,1,0.953961,0.976438,1,0.956194,0.977606,1,0.955245,0.97711,1,
227,0.968701,0.984102,1,0.951693,0.975248,0.956149,0.800303,0.889076,0.515337,0.923222,0.960078,0.882968,
228,0.962305,0.980791,1,0.971929,0.985764,1,0.951672,0.975237,0.977142,0.96221,0.980741,1,
229,0.960343,0.979771,1,0.935208,0.966519,1,0.945319,0.971891,1,0.959006,0.979074,1,
230,0.945059,0.971753,1,0.941909,0.970085,1,0.941339,0.969783,1,0.943131,0.970733,1,
231,0.942782,0.970549,0.979592,0.975943,0.987825,1,0.880711,0.936572,0.93842,0.904882,0.950066,0.989967,
232,0.84633,0.91677,0.651662,0.864844,0.927524,0.754552,0.817684,0.899699,0.630783,0.826837,0.905211,0.52855,
233,0.948269,0.973448,1,0.946881,0.972716,1,0.934075,0.965914,1,0.926471,0.961832,0.987877,
234,0.958812,0.978973,1,0.953299,0.976091,1,0.949256,0.973967,1,0.942451,0.970373,0.977901,
235,0.921541,0.959169,0.922204,0.952933,0.975899,0.988504,0.921128,0.958945,1,0.921254,0.959013,0.994186,
236,0.902511,0.948757,0.75602,0.91354,0.954817,0.834589,0.892157,0.943005,0.804348,0.926306,0.961743,0.983739,
237,0.960204,0.979698,1,0.9589,0.979019,1,0.908579,0.9521,0.957104,0.950287,0.97451,1,
238,0.963117,0.981212,0.967856,0.971,0.985287,1,0.959177,0.979163,1,0.958293,0.978702,1,
239,0.958187,0.978647,1,0.965394,0.982392,1,0.953741,0.976323,1,0.962204,0.980738,1,
240,0.925697,0.961415,0.996979,0.938403,0.968223,1,0.883054,0.937896,0.777104,0.946518,0.972524,1,
241,0.927536,0.962406,1,0.944114,0.971254,1,0.901146,0.948003,0.894821,0.929778,0.963611,0.983561,
242,0.948897,0.973778,1,0.920225,0.958455,0.92338,0.897002,0.945705,0.909769,0.93852,0.968285,0.982405,
243,0.976866,0.988297,1,0.966518,0.982974,1,0.966171,0.982794,1,0.967694,0.983582,1,
244,0.939777,0.968954,1,0.956923,0.977987,1,0.863119,0.926531,0.789965,0.956061,0.977537,1,
245,0.951107,0.974941,0.989011,0.942295,0.97029,0.934003,0.917148,0.956784,0.955043,0.94865,0.973649,0.983531,
