image_id,ensemble_prnu_illum_iou,ensemble_prnu_freq_iou,ensemble_freq_illum_iou,ensemble_all_iou,diff_prnu_illum_iou,diff_prnu_freq_iou,diff_freq_illum_iou,notes
64,0.973273,0.973584,0.97134,0.971982,-0.001291,-0.001602,0.000642,
65,0.973273,0.973584,0.97134,0.971982,-0.001291,-0.001602,0.000642,
66,0.937871,0.944425,0.926768,0.940847,0.002976,-0.003578,0.014079,
67,0.964628,0.948298,0.963399,0.956021,-0.008607,0.007723,-0.007378,
68,0.979107,0.959068,0.95476,0.955144,-0.023963,-0.003924,0.000384,
69,0.926383,0.937711,0.914795,0.942083,0.0157,0.004372,0.027288,
70,0.940558,0.953387,0.936463,0.972061,0.031503,0.018674,0.035598,
71,0.949042,0.944633,0.942236,0.946816,-0.002226,0.002183,0.00458,
72,0.957711,0.961176,0.958909,0.96474,0.007029,0.003564,0.005831,
73,0.961776,0.954125,0.960613,0.964592,0.002816,0.010467,0.003979,
74,0.962866,0.972331,0.972396,0.973529,0.010663,0.001198,0.001133,
75,0.940622,0.948833,0.930084,0.958418,0.017796,0.009585,0.028334,
76,0.955746,0.954984,0.886364,0.924938,-0.030808,-0.030046,0.038574,
77,0.940912,0.951577,0.896903,0.934269,-0.006643,-0.017308,0.037366,
78,0.95557,0.965826,0.957681,0.96627,0.0107,0.000444,0.008589,
79,0.968507,0.966312,0.946188,0.962478,-0.006029,-0.003834,0.01629,
80,0.936318,0.945819,0.886478,0.96257,0.026252,0.016751,0.076092,
81,0.971182,0.956225,0.942857,0.978801,0.007619,0.022576,0.035944,
82,0.957424,0.960636,0.983678,0.941634,-0.01579,-0.019002,-0.042044,
83,0.963656,0.954115,0.928855,0.963557,-0.000099,0.009442,0.034702,
84,0.966202,0.949513,0.957957,0.968663,0.002461,0.01915,0.010706,
85,0.950588,0.950433,0.93622,0.913323,-0.037265,-0.03711,-0.022897,
86,0.964741,0.964467,0.898163,0.976557,0.011816,0.01209,0.078394,
87,0.972467,0.976174,0.915699,0.965925,-0.006542,-0.010249,0.050226,
88,0.971429,0.952398,0.962871,0.973849,0.00242,0.021451,0.010978,
89,0.924528,0.929129,0.822882,0.920273,-0.004255,-0.008856,0.097391,
90,0.974113,0.967675,0.908534,0.972037,-0.002076,0.004362,0.063503,
91,0.916915,0.871194,0.90402,0.902421,-0.014494,0.031227,-0.001599,
92,0.940986,0.944104,0.913225,0.95987,0.018884,0.015766,0.046645,
93,0.891353,0.898179,0.907442,0.90123,0.009877,0.003051,-0.006212,
94,0.949983,0.952316,0.958742,0.971225,0.021242,0.018909,0.012483,
95,0.948405,0.954329,0.884615,0.950217,0.001812,-0.004112,0.065602,
96,0.955311,0.961888,0.915622,0.961248,0.005937,-0.00064,0.045626,
97,0.955198,0.924372,0.894335,0.950161,-0.005037,0.025789,0.055826,
98,0.938262,0.932941,0.956592,0.936062,-0.0022,0.003121,-0.02053,
99,0.970918,0.954809,0.96264,0.954863,-0.016055,0.000054,-0.007777,
100,0.960014,0.962859,0.954843,0.955229,-0.004785,-0.00763,0.000386,
101,0.932394,0.94076,0.914966,0.925897,-0.006497,-0.014863,0.010931,
102,0.948623,0.949715,0.947492,0.960347,0.011724,0.010632,0.012855,
103,0.94454,0.935375,0.959366,0.927798,-0.016742,-0.007577,-0.031568,
104,0.964863,0.965845,0.956597,0.970619,0.005756,0.004774,0.014022,
105,0.958628,0.944821,0.946763,0.950435,-0.008193,0.005614,0.003672,
106,0.97107,0.955121,0.945794,0.964095,-0.006975,0.008974,0.018301,
107,0.928681,0.934388,0.917192,0.934439,0.005758,0.000051,0.017247,
108,0.971874,0.95996,0.95501,0.961061,-0.010813,0.001101,0.006051,
109,0.951976,0.959384,0.96633,0.963863,0.011887,0.004479,-0.002467,
110,0.963894,0.970039,0.966281,0.966741,0.002847,-0.003298,0.00046,
111,0.951374,0.949124,0.902092,0.947938,-0.003436,-0.001186,0.045846,
112,0.95581,0.943673,0.923495,0.948037,-0.007773,0.004364,0.024542,
113,0.896057,0.914825,0.86758,0.893735,-0.002322,-0.02109,0.026155,
114,0.9574,0.954163,0.941581,0.964363,0.006963,0.0102,0.022782,
115,0.931855,0.946034,0.957871,0.943152,0.011297,-0.002882,-0.014719,
116,0.928154,0.931942,0.931638,0.948095,0.019941,0.016153,0.016457,
117,0.944006,0.948201,0.923763,0.930912,-0.013094,-0.017289,0.007149,
118,0.877741,0.92689,0.845163,0.854959,-0.022782,-0.071931,0.009796,
119,0.947065,0.916527,0.924096,0.944911,-0.002154,0.028384,0.020815,
120,0.941667,0.959026,0.935025,0.93975,-0.001917,-0.019276,0.004725,
121,0.956877,0.954244,0.95013,0.967054,0.010177,0.01281,0.016924,
122,0.947912,0.94188,0.930527,0.937908,-0.010004,-0.003972,0.007381,
123,0.932314,0.927852,0.915232,0.929175,-0.003139,0.001323,0.013943,
124,0.929024,0.93862,0.9179,0.921148,-0.007876,-0.017472,0.003248,
125,0.937766,0.935115,0.906003,0.936838,-0.000928,0.001723,0.030835,
126,0.980698,0.969156,0.966231,0.978091,-0.002607,0.008935,0.01186,
127,0.946741,0.95041,0.953412,0.961653,0.014912,0.011243,0.008241,
128,0.969236,0.975561,0.973199,0.958691,-0.010545,-0.01687,-0.014508,
129,0.933225,0.94025,0.931583,0.951358,0.018133,0.011108,0.019775,
130,0.950866,0.926641,0.937196,0.956278,0.005412,0.029637,0.019082,
131,0.980852,0.964648,0.949792,0.939317,-0.041535,-0.025331,-0.010475,
132,0.976774,0.967309,0.92691,0.965344,-0.01143,-0.001965,0.038434,
133,0.955887,0.962938,0.942544,0.960665,0.004778,-0.002273,0.018121,
134,0,0,0,0,0,0,0,
135,0.935616,0.960726,0.854035,0.950795,0.015179,-0.009931,0.09676,
136,0.960428,0.912934,0.896743,0.966954,0.006526,0.05402,0.070211,
137,0.977172,0.965924,0.947783,0.97619,-0.000982,0.010266,0.028407,
138,0.929264,0.935261,0.905939,0.924407,-0.004857,-0.010854,0.018468,
139,0.95842,0.935866,0.966807,0.981356,0.022936,0.04549,0.014549,
140,0.965947,0.957228,0.932388,0.968708,0.002761,0.01148,0.03632,
141,0.938738,0.942883,0.772755,0.913416,-0.025322,-0.029467,0.140661,
142,0.898344,0.927634,0.883825,0.928802,0.030458,0.001168,0.044977,
143,0.937322,0.955019,0.893982,0.948602,0.01128,-0.006417,0.05462,
144,0.951722,0.958559,0.925848,0.940084,-0.011638,-0.018475,0.014236,
145,0.940362,0.964694,0.92699,0.947644,0.007282,-0.01705,0.020654,
146,0.959514,0.946417,0.957361,0.958229,-0.001285,0.011812,0.000868,
147,0.902787,0.89986,0.936627,0.892696,-0.010091,-0.007164,-0.043931,
148,0.960026,0.960573,0.950262,0.947556,-0.01247,-0.013017,-0.002706,
149,0.939353,0.940047,0.927419,0.952925,0.013572,0.012878,0.025506,
150,0.968243,0.969597,0.92113,0.963946,-0.004297,-0.005651,0.042816,
151,0.935391,0.948148,0.932438,0.910507,-0.024884,-0.037641,-0.021931,
152,0.936947,0.956873,0.965854,0.963176,0.026229,0.006303,-0.002678,
153,0.955178,0.955939,0.955831,0.958684,0.003506,0.002745,0.002853,
154,0.970051,0.976346,0.955791,0.967835,-0.002216,-0.008511,0.012044,
155,0.961526,0.932358,0.941667,0.944897,-0.016629,0.012539,0.00323,
156,0.9353,0.905256,0.914008,0.935403,0.000103,0.030147,0.021395,
157,0.921673,0.906126,0.932751,0.91016,-0.011513,0.004034,-0.022591,
158,0.964574,0.935675,0.953488,0.955944,-0.00863,0.020269,0.002456,
159,0.946676,0.925544,0.934867,0.950018,0.003342,0.024474,0.015151,
160,0.900585,0.905269,0.90948,0.927095,0.02651,0.021826,0.017615,
161,0.974278,0.973286,0.955508,0.964434,-0.009844,-0.008852,0.008926,
162,0.971468,0.966177,0.930575,0.960312,-0.011156,-0.005865,0.029737,
163,0.955119,0.956565,0.927327,0.940945,-0.014174,-0.01562,0.013618,
164,0.800126,0.77171,0.72465,0.772499,-0.027627,0.000789,0.047849,
165,0.975364,0.981252,0.964406,0.978723,0.003359,-0.002529,0.014317,
166,0.947926,0.951932,0.926148,0.95341,0.005484,0.001478,0.027262,
167,0.976967,0.974576,0.921736,0.970331,-0.006636,-0.004245,0.048595,
168,0.940545,0.955944,0.963588,0.930726,-0.009819,-0.025218,-0.032862,
169,0.979675,0.976957,0.926599,0.968291,-0.011384,-0.008666,0.041692,
170,0.964571,0.956473,0.906132,0.95509,-0.009481,-0.001383,0.048958,
171,0.971073,0.949577,0.95706,0.97378,0.002707,0.024203,0.01672,
172,0.958063,0.908999,0.937893,0.926012,-0.032051,0.017013,-0.011881,
173,0.926345,0.931389,0.917519,0.934062,0.007717,0.002673,0.016543,
174,0.922684,0.940426,0.935125,0.932558,0.009874,-0.007868,-0.002567,
175,0.968313,0.957325,0.917232,0.944003,-0.02431,-0.013322,0.026771,
176,0.939969,0.942421,0.914667,0.932642,-0.007327,-0.009779,0.017975,
177,0.935731,0.921485,0.899838,0.918705,-0.017026,-0.00278,0.018867,
178,0.962456,0.953059,0.953899,0.937332,-0.025124,-0.015727,-0.016567,
179,0.916188,0.932676,0.895101,0.923919,0.007731,-0.008757,0.028818,
180,0.951648,0.959298,0.923571,0.964363,0.012715,0.005065,0.040792,
181,0.947084,0.936367,0.94637,0.944644,-0.00244,0.008277,-0.001726,
182,0.961268,0.9534,0.934577,0.964768,0.0035,0.011368,0.030191,
183,0.972826,0.961659,0.926266,0.953561,-0.019265,-0.008098,0.027295,
184,0.917437,0.904551,0.875364,0.920701,0.003264,0.01615,0.045337,
185,0.965172,0.970576,0.960683,0.97619,0.011018,0.005614,0.015507,
186,0.979895,0.978518,0.934194,0.975588,-0.004307,-0.00293,0.041394,
187,0.957924,0.954796,0.924521,0.976835,0.018911,0.022039,0.052314,
188,0.97435,0.972279,0.969278,0.970418,-0.003932,-0.001861,0.00114,
189,0.979627,0.971369,0.933517,0.976075,-0.003552,0.004706,0.042558,
190,0.951327,0.938924,0.929136,0.942496,-0.008831,0.003572,0.01336,
191,0.969469,0.948302,0.955742,0.959359,-0.01011,0.011057,0.003617,
192,0.971417,0.976088,0.950237,0.985485,0.014068,0.009397,0.035248,
193,0.9292,0.903302,0.957113,0.928457,-0.000743,0.025155,-0.028656,
194,0.96252,0.968116,0.953213,0.959158,-0.003362,-0.008958,0.005945,
195,0.96146,0.953637,0.895799,0.955411,-0.006049,0.001774,0.059612,
196,0.949304,0.957043,0.961386,0.967667,0.018363,0.010624,0.006281,
197,0.951971,0.936286,0.776656,0.950045,-0.001926,0.013759,0.173389,
198,0.958818,0.929608,0.8886,0.964045,0.005227,0.034437,0.075445,
199,0.965567,0.976087,0.936259,0.969729,0.004162,-0.006358,0.03347,
200,0.949255,0.932116,0.930697,0.964663,0.015408,0.032547,0.033966,
201,0.969718,0.964019,0.955571,0.969983,0.000265,0.005964,0.014412,
202,0.833493,0.914268,0.877707,0.887427,0.053934,-0.026841,0.00972,
203,0.94288,0.931501,0.949979,0.933307,-0.009573,0.001806,-0.016672,
204,0.951311,0.962051,0.912538,0.972014,0.020703,0.009963,0.059476,
205,0.913663,0.934426,0.905169,0.945923,0.03226,0.011497,0.040754,
206,0.948143,0.95085,0.931633,0.942899,-0.005244,-0.007951,0.011266,
207,0.959297,0.96582,0.898404,0.955433,-0.003864,-0.010387,0.057029,
208,0.948364,0.961118,0.962021,0.962396,0.014032,0.001278,0.000375,
209,0.960186,0.95379,0.936382,0.946844,-0.013342,-0.006946,0.010462,
210,0.950702,0.915969,0.94208,0.952237,0.001535,0.036268,0.010157,
211,0.960057,0.953497,0.96263,0.945244,-0.014813,-0.008253,-0.017386,
212,0.918845,0.924191,0.957236,0.927254,0.008409,0.003063,-0.029982,
213,0.956221,0.964351,0.934492,0.950406,-0.005815,-0.013945,0.015914,
214,0.91618,0.927778,0.898424,0.921098,0.004918,-0.00668,0.022674,
215,0.950513,0.961497,0.93132,0.956352,0.005839,-0.005145,0.025032,
216,0.954436,0.967509,0.978146,0.951066,-0.00337,-0.016443,-0.02708,
217,0.914491,0.952325,0.838873,0.9477,0.033209,-0.004625,0.108827,
218,0.972053,0.976753,0.928992,0.967201,-0.004852,-0.009552,0.038209,
219,0.96431,0.973845,0.955749,0.969111,0.004801,-0.004734,0.013362,
220,0.915627,0.920479,0.961809,0.9375,0.021873,0.017021,-0.024309,
221,0.984848,0.970333,0.954376,0.974325,-0.010523,0.003992,0.019949,
222,0.959662,0.965707,0.936463,0.946298,-0.013364,-0.019409,0.009835,
223,0.880289,0.806331,0.815524,0.849234,-0.031055,0.042903,0.03371,
224,0.914683,0.936484,0.906988,0.892262,-0.022421,-0.044222,-0.014726,
225,0.964349,0.960674,0.960743,0.94974,-0.014609,-0.010934,-0.011003,
226,0.959133,0.959402,0.952263,0.952195,-0.006938,-0.007207,-0.000068,
227,0.964258,0.936934,0.850224,0.939796,-0.024462,0.002862,0.089572,
228,0.964919,0.974891,0.969479,0.971634,0.006715,-0.003257,0.002155,
229,0.96613,0.939145,0.949503,0.956989,-0.009141,0.017844,0.007486,
230,0.952644,0.949914,0.930273,0.954311,0.001667,0.004397,0.024038,
231,0.960879,0.958757,0.860835,0.922958,-0.037921,-0.035799,0.062123,
232,0.854455,0.855403,0.848006,0.823289,-0.031166,-0.032114,-0.024717,
233,0.964286,0.950787,0.904488,0.936451,-0.027835,-0.014336,0.031963,
234,0.95103,0.950931,0.948701,0.942847,-0.008183,-0.008084,-0.005854,
235,0.926429,0.94659,0.899331,0.936147,0.009718,-0.010443,0.036816,
236,0.922197,0.911256,0.89477,0.931914,0.009717,0.020658,0.037144,
237,0.960178,0.951649,0.913968,0.950605,-0.009573,-0.001044,0.036637,
238,0.969903,0.97014,0.960823,0.965291,-0.004612,-0.004849,0.004468,
239,0.963225,0.97341,0.960517,0.966168,0.002943,-0.007242,0.005651,
240,0.926499,0.932929,0.881476,0.961034,0.034535,0.028105,0.079558,
241,0.926427,0.942034,0.877,0.931205,0.004778,-0.010829,0.054205,
242,0.953416,0.929164,0.940171,0.958894,0.005478,0.02973,0.018723,
243,0.979408,0.969122,0.972222,0.970643,-0.008765,0.001521,-0.001579,
244,0.949472,0.955994,0.877603,0.942868,-0.006604,-0.013126,0.065265,
245,0.962157,0.946159,0.931244,0.954845,-0.007312,0.008686,0.023601,
246,0.955603,0.936141,0.928772,0.941075,-0.014528,0.004934,0.012303,
247,0.944059,0.964701,0.9055,0.947104,0.003045,-0.017597,0.041604,
248,0.956384,0.946287,0.892063,0.948548,-0.007836,0.002261,0.056485,
249,0.969345,0.97238,0.961107,0.968315,-0.00103,-0.004065,0.007208,
250,0.945554,0.942457,0.94487,0.944444,-0.00111,0.001987,-0.000426,
251,0.953353,0.946213,0.935417,0.972727,0.019374,0.026514,0.03731,
252,0.967133,0.960269,0.941214,0.930916,-0.036217,-0.029353,-0.010298,
253,0.95,0.965714,0.953513,0.95904,0.00904,-0.006674,0.005527,
254,0.975951,0.975795,0.931186,0.972332,-0.003619,-0.003463,0.041146,
255,0.907937,0.939674,0.926095,0.919263,0.011326,-0.020411,-0.006832,
256,0.942072,0.953695,0.882296,0.934506,-0.007566,-0.019189,0.05221,
257,0.919648,0.922208,0.926897,0.926355,0.006707,0.004147,-0.000542,
258,0.949074,0.941883,0.871916,0.944444,-0.00463,0.002561,0.072528,
259,0.977298,0.973713,0.884761,0.975886,-0.001412,0.002173,0.091125,
260,0.950175,0.931531,0.937914,0.939215,-0.01096,0.007684,0.001301,
261,0.953936,0.945337,0.936163,0.94196,-0.011976,-0.003377,0.005797,
262,0.94498,0.968635,0.914503,0.935566,-0.009414,-0.033069,0.021063,
263,0.931834,0.933991,0.93488,0.937393,0.005559,0.003402,0.002513,
264,0.959563,0.959169,0.916781,0.938478,-0.021085,-0.020691,0.021697,
265,0.881455,0.886355,0.892732,0.900428,0.018973,0.014073,0.007696,
266,0.943497,0.943195,0.946186,0.93889,-0.004607,-0.004305,-0.007296,
267,0.947056,0.937915,0.921936,0.925642,-0.021414,-0.012273,0.003706,
268,0.920957,0.934906,0.914206,0.961507,0.04055,0.026601,0.047301,
269,0.937253,0.949104,0.912707,0.942521,0.005268,-0.006583,0.029814,
270,0.975167,0.968784,0.93277,0.971429,-0.003738,0.002645,0.038659,
271,0.927893,0.930339,0.889523,0.923921,-0.003972,-0.006418,0.034398,
272,0.947065,0.930998,0.937722,0.939858,-0.007207,0.00886,0.002136,
273,0.96306,0.958208,0.920391,0.981168,0.018108,0.02296,0.060777,
274,0.969858,0.953076,0.967765,0.965324,-0.004534,0.012248,-0.002441,
275,0.92749,0.954531,0.939747,0.930935,0.003445,-0.023596,-0.008812,
276,0.97341,0.967257,0.964066,0.971505,-0.001905,0.004248,0.007439,
277,0.937915,0.927721,0.911047,0.920971,-0.016944,-0.00675,0.009924,
278,0.952437,0.982943,0.943732,0.972989,0.020552,-0.009954,0.029257,
279,0.960492,0.965366,0.923623,0.949167,-0.011325,-0.016199,0.025544,
280,0.966411,0.936318,0.964683,0.959846,-0.006565,0.023528,-0.004837,
281,0.954845,0.956419,0.965792,0.96576,0.010915,0.009341,-0.000032,
282,0.934923,0.955525,0.9203,0.957367,0.022444,0.001842,0.037067,
283,0.962487,0.972329,0.958001,0.965949,0.003462,-0.00638,0.007948,
284,0.967415,0.970664,0.943242,0.9681,0.000685,-0.002564,0.024858,
285,0.922996,0.911785,0.934557,0.927795,0.004799,0.01601,-0.006762,
286,0.959752,0.940533,0.935065,0.966436,0.006684,0.025903,0.031371,
287,0.929367,0.947879,0.947811,0.932961,0.003594,-0.014918,-0.01485,
288,0.918416,0.930416,0.895198,0.92751,0.009094,-0.002906,0.032312,
289,0.974898,0.969963,0.952892,0.961796,-0.013102,-0.008167,0.008904,
290,0.954179,0.955153,0.927089,0.960199,0.00602,0.005046,0.03311,
291,0.964512,0.963376,0.945368,0.964124,-0.000388,0.000748,0.018756,
292,0.923909,0.916783,0.936469,0.935272,0.011363,0.018489,-0.001197,
293,0.973936,0.980718,0.971343,0.981758,0.007822,0.00104,0.010415,
294,0.942595,0.92787,0.978413,0.929595,-0.013,0.001725,-0.048818,
295,0.945024,0.950155,0.944304,0.93401,-0.011014,-0.016145,-0.010294,
296,0.9287,0.945016,0.912234,0.942508,0.013808,-0.002508,0.030274,
297,0.949267,0.966088,0.866843,0.960563,0.011296,-0.005525,0.09372,
298,0.959258,0.957075,0.959672,0.960926,0.001668,0.003851,0.001254,
299,0.941537,0.962963,0.939024,0.943939,0.002402,-0.019024,0.004915,
300,0.93582,0.940134,0.94909,0.947704,0.011884,0.00757,-0.001386,
301,0.974942,0.965621,0.953435,0.975782,0.00084,0.010161,0.022347,
302,0.934145,0.921534,0.940104,0.886453,-0.047692,-0.035081,-0.053651,
303,0.946422,0.949819,0.92802,0.949658,0.003236,-0.000161,0.021638,
304,0.963827,0.973621,0.945042,0.977672,0.013845,0.004051,0.03263,
305,0.976647,0.97634,0.92626,0.962759,-0.013888,-0.013581,0.036499,
306,0.960296,0.943592,0.941109,0.942029,-0.018267,-0.001563,0.00092,
307,0.975402,0.982617,0.964834,0.976291,0.000889,-0.006326,0.011457,
308,0.96832,0.955518,0.964222,0.950609,-0.017711,-0.004909,-0.013613,
309,0.947977,0.954912,0.902062,0.956966,0.008989,0.002054,0.054904,
310,0.935619,0.936617,0.859865,0.933207,-0.002412,-0.00341,0.073342,
311,0.948791,0.952651,0.937698,0.941271,-0.00752,-0.01138,0.003573,
312,0.945706,0.943932,0.951675,0.954513,0.008807,0.010581,0.002838,
313,0.94071,0.94962,0.907294,0.956941,0.016231,0.007321,0.049647,
314,0.946459,0.954669,0.744099,0.955442,0.008983,0.000773,0.211343,
315,0.961829,0.947045,0.966349,0.975317,0.013488,0.028272,0.008968,
316,0.958465,0.948602,0.956561,0.946357,-0.012108,-0.002245,-0.010204,
317,0.964587,0.961264,0.885675,0.972222,0.007635,0.010958,0.086547,
318,0.967186,0.973271,0.959325,0.964935,-0.002251,-0.008336,0.00561,
319,0.950236,0.954545,0.928393,0.945853,-0.004383,-0.008692,0.01746,
320,0.956897,0.941057,0.945268,0.94603,-0.010867,0.004973,0.000762,
321,0.935128,0.954936,0.868476,0.962729,0.027601,0.007793,0.094253,
322,0.853981,0.866016,0.899932,0.838816,-0.015165,-0.0272,-0.061116,
323,0.933032,0.952246,0.920804,0.914661,-0.018371,-0.037585,-0.006143,
324,0.941004,0.941289,0.934537,0.936232,-0.004772,-0.005057,0.001695,
325,0.915558,0.938163,0.788634,0.942807,0.027249,0.004644,0.154173,
326,0.958299,0.9624,0.930788,0.944444,-0.013855,-0.017956,0.013656,
327,0.962881,0.968285,0.973055,0.961602,-0.001279,-0.006683,-0.011453,
328,0.953088,0.967535,0.939322,0.949341,-0.003747,-0.018194,0.010019,
329,0.960508,0.961613,0.916094,0.948109,-0.012399,-0.013504,0.032015,
330,0.978723,0.963933,0.936907,0.967095,-0.011628,0.003162,0.030188,
331,0.925416,0.935649,0.908207,0.909636,-0.01578,-0.026013,0.001429,
332,0.948638,0.957568,0.948706,0.919551,-0.029087,-0.038017,-0.029155,
333,0.954892,0.949183,0.946718,0.953801,-0.001091,0.004618,0.007083,
334,0.905394,0.923784,0.944692,0.9,-0.005394,-0.023784,-0.044692,
335,0.94293,0.937041,0.947111,0.937362,-0.005568,0.000321,-0.009749,
336,0.947507,0.957432,0.912116,0.958292,0.010785,0.00086,0.046176,
337,0.945337,0.928484,0.931553,0.933767,-0.01157,0.005283,0.002214,
338,0.950026,0.936483,0.924133,0.938099,-0.011927,0.001616,0.013966,
339,0.962035,0.966024,0.941367,0.969043,0.007008,0.003019,0.027676,
340,0.955611,0.962843,0.953738,0.953055,-0.002556,-0.009788,-0.000683,
341,0.910659,0.928123,0.852954,0.941421,0.030762,0.013298,0.088467,
342,0.932869,0.942365,0.820077,0.936454,0.003585,-0.005911,0.116377,
343,0.959419,0.95913,0.967816,0.963763,0.004344,0.004633,-0.004053,
344,0.976369,0.973713,0.952498,0.970621,-0.005748,-0.003092,0.018123,
345,0.880012,0.941748,0.841084,0.918811,0.038799,-0.022937,0.077727,
346,0.964731,0.951393,0.946256,0.969374,0.004643,0.017981,0.023118,
347,0.958536,0.938674,0.943448,0.919903,-0.038633,-0.018771,-0.023545,
348,0.926064,0.924468,0.895696,0.943834,0.01777,0.019366,0.048138,
349,0.918301,0.910646,0.876927,0.913412,-0.004889,0.002766,0.036485,
350,0.915703,0.932775,0.928608,0.95004,0.034337,0.017265,0.021432,
351,0.962424,0.97538,0.915307,0.969799,0.007375,-0.005581,0.054492,
