image_id,unetpp_prnu_illum_dice,unetpp_prnu_freq_dice,unetpp_freq_illum_dice,unetpp_all_dice,diff_prnu_illum_dice,diff_prnu_freq_dice,diff_freq_illum_dice,notes
158,0.973651,0.975156,0.972709,0.981518,0.007867,0.006362,0.008809,
159,0.979364,0.946716,0.96483,0.972233,-0.007131,0.025517,0.007403,
160,0.93778,0.952703,0.964892,0.949986,0.012206,-0.002717,-0.014906,
161,0.988055,0.985642,0.978121,0.978112,-0.009943,-0.00753,-0.000009,
162,0.984923,0.982267,0.969664,0.979196,-0.005727,-0.003071,0.009532,
163,0.970588,0.981247,0.965935,0.968662,-0.001926,-0.012585,0.002727,
164,0.875897,0.880009,0.841545,0.865218,-0.010679,-0.014791,0.023673,
165,0.985041,0.991704,0.984995,0.991654,0.006613,-0.00005,0.006659,
166,0.977599,0.973606,0.964789,0.97479,-0.002809,0.001184,0.010001,
167,0.989731,0.985366,0.95892,0.985294,-0.004437,-0.000072,0.026374,
168,0.96917,0.976835,0.985502,0.971696,0.002526,-0.005139,-0.013806,
169,0.985896,0.986552,0.960685,0.975076,-0.01082,-0.011476,0.014391,
170,0.982429,0.979474,0.959076,0.977424,-0.005005,-0.00205,0.018348,
171,0.975154,0.969456,0.97416,0.987841,0.012687,0.018385,0.013681,
172,0.978166,0.952498,0.963799,0.97195,-0.006216,0.019452,0.008151,
173,0.961661,0.958743,0.954592,0.952825,-0.008836,-0.005918,-0.001767,
174,0.95581,0.963928,0.966752,0.966341,0.010531,0.002413,-0.000411,
175,0.979091,0.98444,0.954104,0.967096,-0.011995,-0.017344,0.012992,
176,0.964643,0.966826,0.944266,0.959429,-0.005214,-0.007397,0.015163,
177,0.973494,0.962976,0.951496,0.969998,-0.003496,0.007022,0.018502,
178,0.986931,0.973752,0.968824,0.974915,-0.012016,0.001163,0.006091,
179,0.963582,0.934441,0.953837,0.960289,-0.003293,0.025848,0.006452,
180,0.978038,0.977269,0.968693,0.981214,0.003176,0.003945,0.012521,
181,0.972222,0.969965,0.967058,0.974416,0.002194,0.004451,0.007358,
182,0.977679,0.975384,0.965391,0.983066,0.005387,0.007682,0.017675,
183,0.985761,0.980576,0.962038,0.977287,-0.008474,-0.003289,0.015249,
184,0.952636,0.956427,0.924438,0.95938,0.006744,0.002953,0.034942,
185,0.987937,0.982102,0.980496,0.987135,-0.000802,0.005033,0.006639,
186,0.979253,0.981883,0.964471,0.985187,0.005934,0.003304,0.020716,
187,0.980892,0.978134,0.964688,0.983017,0.002125,0.004883,0.018329,
188,0.982591,0.981606,0.986156,0.986986,0.004395,0.00538,0.00083,
189,0.98478,0.983831,0.942604,0.990203,0.005423,0.006372,0.047599,
190,0.976044,0.97021,0.958778,0.963485,-0.012559,-0.006725,0.004707,
191,0.973373,0.977715,0.968643,0.975368,0.001995,-0.002347,0.006725,
192,0.988724,0.983258,0.980892,0.991123,0.002399,0.007865,0.010231,
193,0.968569,0.945963,0.977377,0.965805,-0.002764,0.019842,-0.011572,
194,0.976729,0.985412,0.971602,0.978668,0.001939,-0.006744,0.007066,
195,0.979863,0.973673,0.949504,0.974211,-0.005652,0.000538,0.024707,
196,0.962406,0.971857,0.976666,0.984984,0.022578,0.013127,0.008318,
197,0.971801,0.97544,0.888671,0.969655,-0.002146,-0.005785,0.080984,
198,0.979909,0.959964,0.934928,0.98073,0.000821,0.020766,0.045802,
199,0.981125,0.987132,0.965222,0.973907,-0.007218,-0.013225,0.008685,
200,0.98073,0.953374,0.968456,0.981054,0.000324,0.02768,0.012598,
201,0.98214,0.98063,0.974411,0.983133,0.000993,0.002503,0.008722,
202,0.883754,0.93426,0.921148,0.909842,0.026088,-0.024418,-0.011306,
203,0.972682,0.961554,0.968744,0.969836,-0.002846,0.008282,0.001092,
