image_id,proposed_iou,proposed_dice,proposed_bf_score,segformer_iou,segformer_dice,segformer_bf_score,diff_iou,diff_dice,diff_bf_score
125,0.936838,0.967389,1,0.961326,0.980282,1,-0.024488,-0.012893,0
126,0.978091,0.988924,1,0.978042,0.988899,1,0.000049,0.000025,0
127,0.961653,0.980452,1,0.966007,0.982709,1,-0.004354,-0.002257,0
128,0.958691,0.97891,1,0.972529,0.986073,1,-0.013838,-0.007163,0
129,0.951358,0.975073,1,0.97546,0.987578,1,-0.024102,-0.012505,0
130,0.956278,0.977651,1,0.982257,0.991049,1,-0.025979,-0.013398,0
131,0.939317,0.968709,0.890283,0.975383,0.987538,1,-0.036066,-0.018829,-0.109717
132,0.965344,0.982367,1,0.971622,0.985607,1,-0.006278,-0.00324,0
133,0.960665,0.979938,1,0.961235,0.980234,1,-0.00057,-0.000296,0
134,0,0,0,0,0,0,0,0,0
135,0.950795,0.974777,1,0.950054,0.974387,1,0.000741,0.00039,0
136,0.966954,0.983199,1,0.93486,0.966334,1,0.032094,0.016865,0
137,0.97619,0.987952,1,0.974518,0.987095,1,0.001672,0.000857,0
138,0.924407,0.960719,0.964072,0.95384,0.976375,1,-0.029433,-0.015656,-0.035928
139,0.981356,0.99059,1,0.919602,0.958117,1,0.061754,0.032473,0
140,0.968708,0.984105,1,0.97166,0.985626,1,-0.002952,-0.001521,0
141,0.913416,0.954749,0.915816,0.959184,0.979167,1,-0.045768,-0.024418,-0.084184
142,0.928802,0.963087,1,0.948678,0.973663,1,-0.019876,-0.010576,0
143,0.948602,0.973623,0.984424,0.956219,0.97762,1,-0.007617,-0.003997,-0.015576
144,0.940084,0.969117,1,0.967225,0.98334,1,-0.027141,-0.014223,0
145,0.947644,0.973118,1,0.951188,0.974983,1,-0.003544,-0.001865,0
146,0.958229,0.978669,1,0.970497,0.985028,1,-0.012268,-0.006359,0
147,0.892696,0.943307,0.765675,0.925766,0.961452,0.862069,-0.03307,-0.018145,-0.096394
148,0.947556,0.973072,1,0.933049,0.965365,1,0.014507,0.007707,0
149,0.952925,0.975895,1,0.960725,0.979969,1,-0.0078,-0.004074,0
150,0.963946,0.981642,0.956159,0.975149,0.987418,1,-0.011203,-0.005776,-0.043841
151,0.910507,0.953158,0.830777,0.969671,0.984602,1,-0.059164,-0.031444,-0.169223
152,0.963176,0.981243,1,0.96863,0.984065,1,-0.005454,-0.002822,0
153,0.958684,0.978906,1,0.953887,0.976399,1,0.004797,0.002507,0
154,0.967835,0.983655,1,0.977132,0.988434,1,-0.009297,-0.004779,0
155,0.944897,0.971668,1,0.949854,0.974282,1,-0.004957,-0.002614,0
