image_id,proposed_iou,proposed_dice,diff_id_iou,diff_id_dice,two_stream_iou,two_stream_dice,xceptionnet_iou,xceptionnet_dice,segformer_iou,segformer_dice
119,0.944911,0.971675,0.952641,0.975746,0.972715,0.986169,0.910567,0.95319,0.970768,0.985167
120,0.93975,0.968939,0.96237,0.980824,0.95122,0.975,0.924801,0.960931,0.964159,0.981753
121,0.967054,0.983251,0.966529,0.98298,0.965634,0.982517,0.941328,0.969778,0.959805,0.97949
122,0.937908,0.96796,0.961797,0.980526,0.970676,0.98512,0.927442,0.962355,0.97773,0.98874
123,0.929175,0.963287,0.954826,0.976891,0.952861,0.975861,0.91515,0.955695,0.96248,0.980881
124,0.921148,0.958956,0.968323,0.983906,0.960914,0.980068,0.918319,0.957421,0.980268,0.990035
125,0.936838,0.967389,0.961177,0.980204,0.962144,0.980707,0.900511,0.947652,0.961326,0.980282
126,0.978091,0.988924,0.976041,0.987875,0.97796,0.988857,0.957302,0.978185,0.978042,0.988899
127,0.961653,0.980452,0.953505,0.976199,0.95791,0.978503,0.910773,0.953303,0.966007,0.982709
128,0.958691,0.97891,0.979028,0.989403,0.967774,0.983623,0.963967,0.981653,0.972529,0.986073
129,0.951358,0.975073,0.952692,0.975773,0.970755,0.985161,0.912804,0.954415,0.97546,0.987578
130,0.956278,0.977651,0.967978,0.983728,0.953136,0.976006,0.937149,0.967555,0.982257,0.991049
131,0.939317,0.968709,0.974035,0.986847,0.972928,0.986278,0.952044,0.975433,0.975383,0.987538
132,0.965344,0.982367,0.982906,0.991379,0.967921,0.983699,0.915059,0.955646,0.971622,0.985607
133,0.960665,0.979938,0.97353,0.986588,0.955892,0.977449,0.929342,0.963377,0.961235,0.980234
134,0,0,0,0,0,0,0,0,0,0
135,0.950795,0.974777,0.958499,0.97881,0.963683,0.981506,0.862314,0.926067,0.950054,0.974387
136,0.966954,0.983199,0.969087,0.984301,0.975251,0.98747,0.876194,0.934012,0.93486,0.966334
137,0.97619,0.987952,0.9828,0.991325,0.979202,0.989492,0.937866,0.967937,0.974518,0.987095
138,0.924407,0.960719,0.944856,0.971646,0.945019,0.971732,0.918072,0.957286,0.95384,0.976375
139,0.981356,0.99059,0.930004,0.963733,0.948816,0.973736,0.961088,0.980158,0.919602,0.958117
140,0.968708,0.984105,0.965815,0.98261,0.959123,0.979135,0.904114,0.949643,0.97166,0.985626
141,0.913416,0.954749,0.962264,0.980769,0.952941,0.975904,0.768055,0.868814,0.959184,0.979167
142,0.928802,0.963087,0.961929,0.980595,0.93263,0.965141,0.885733,0.939404,0.948678,0.973663
143,0.948602,0.973623,0.941105,0.969659,0.955291,0.977134,0.864025,0.927053,0.956219,0.97762
144,0.940084,0.969117,0.957501,0.978289,0.960058,0.979622,0.926227,0.961701,0.967225,0.98334
145,0.947644,0.973118,0.957045,0.978051,0.956578,0.977807,0.90816,0.95187,0.951188,0.974983
