image_id,proposed_iou,proposed_dice,proposed_bf_score,two_stream_iou,two_stream_dice,two_stream_bf_score,diff_iou,diff_dice,diff_bf_score
107,0.934439,0.966108,0.994065,0.946094,0.9723,1,-0.011655,-0.006192,-0.005935
108,0.961061,0.980144,1,0.977311,0.988525,1,-0.01625,-0.008381,0
109,0.963863,0.981599,1,0.960829,0.980024,1,0.003034,0.001575,0
110,0.966741,0.983089,1,0.947725,0.973161,1,0.019016,0.009928,0
111,0.947938,0.973273,1,0.967387,0.983423,1,-0.019449,-0.01015,0
112,0.948037,0.973325,0.917397,0.968302,0.983896,1,-0.020265,-0.010571,-0.082603
113,0.893735,0.943886,0.923789,0.941975,0.970121,1,-0.04824,-0.026235,-0.076211
114,0.964363,0.981858,1,0.964519,0.981939,1,-0.000156,-0.000081,0
115,0.943152,0.970745,0.973255,0.963139,0.981224,1,-0.019987,-0.010479,-0.026745
116,0.948095,0.973356,1,0.963636,0.981481,1,-0.015541,-0.008125,0
117,0.930912,0.96422,0.98795,0.97559,0.987644,1,-0.044678,-0.023424,-0.01205
118,0.854959,0.921809,0.734185,0.964727,0.982047,1,-0.109768,-0.060238,-0.265815
119,0.944911,0.971675,1,0.972715,0.986169,1,-0.027804,-0.014494,0
120,0.93975,0.968939,1,0.95122,0.975,1,-0.01147,-0.006061,0
121,0.967054,0.983251,1,0.965634,0.982517,1,0.00142,0.000734,0
122,0.937908,0.96796,1,0.970676,0.98512,1,-0.032768,-0.01716,0
123,0.929175,0.963287,1,0.952861,0.975861,1,-0.023686,-0.012574,0
124,0.921148,0.958956,0.846995,0.960914,0.980068,1,-0.039766,-0.021112,-0.153005
125,0.936838,0.967389,1,0.962144,0.980707,1,-0.025306,-0.013318,0
126,0.978091,0.988924,1,0.97796,0.988857,1,0.000131,0.000067,0
127,0.961653,0.980452,1,0.95791,0.978503,1,0.003743,0.001949,0
128,0.958691,0.97891,1,0.967774,0.983623,1,-0.009083,-0.004713,0
129,0.951358,0.975073,1,0.970755,0.985161,1,-0.019397,-0.010088,0
130,0.956278,0.977651,1,0.953136,0.976006,1,0.003142,0.001645,0
131,0.939317,0.968709,0.890283,0.972928,0.986278,1,-0.033611,-0.017569,-0.109717
132,0.965344,0.982367,1,0.967921,0.983699,1,-0.002577,-0.001332,0
133,0.960665,0.979938,1,0.955892,0.977449,1,0.004773,0.002489,0
134,0,0,0,0,0,0,0,0,0
135,0.950795,0.974777,1,0.963683,0.981506,1,-0.012888,-0.006729,0
136,0.966954,0.983199,1,0.975251,0.98747,1,-0.008297,-0.004271,0
137,0.97619,0.987952,1,0.979202,0.989492,1,-0.003012,-0.00154,0
138,0.924407,0.960719,0.964072,0.945019,0.971732,1,-0.020612,-0.011013,-0.035928
139,0.981356,0.99059,1,0.948816,0.973736,1,0.03254,0.016854,0
140,0.968708,0.984105,1,0.959123,0.979135,1,0.009585,0.00497,0
141,0.913416,0.954749,0.915816,0.952941,0.975904,1,-0.039525,-0.021155,-0.084184
142,0.928802,0.963087,1,0.93263,0.965141,0.942284,-0.003828,-0.002054,0.057716
143,0.948602,0.973623,0.984424,0.955291,0.977134,1,-0.006689,-0.003511,-0.015576
144,0.940084,0.969117,1,0.960058,0.979622,1,-0.019974,-0.010505,0
145,0.947644,0.973118,1,0.956578,0.977807,1,-0.008934,-0.004689,0
146,0.958229,0.978669,1,0.96904,0.984277,1,-0.010811,-0.005608,0
147,0.892696,0.943307,0.765675,0.948595,0.973619,1,-0.055899,-0.030312,-0.234325
148,0.947556,0.973072,1,0.967469,0.983466,1,-0.019913,-0.010394,0
149,0.952925,0.975895,1,0.980274,0.990039,1,-0.027349,-0.014144,0
