image_id,proposed_iou,proposed_dice,proposed_bf_score,diff_id_iou,diff_id_dice,diff_id_bf_score,diff_iou,diff_dice,diff_bf_score
306,0.942029,0.970149,1,0.970393,0.984974,1,-0.028364,-0.014825,0
307,0.976291,0.988003,1,0.982307,0.991074,1,-0.006016,-0.003071,0
308,0.950609,0.974679,1,0.963661,0.981494,1,-0.013052,-0.006815,0
309,0.956966,0.97801,1,0.962077,0.980672,1,-0.005111,-0.002662,0
310,0.933207,0.96545,1,0.97562,0.987659,1,-0.042413,-0.022209,0
311,0.941271,0.969747,0.95144,0.960065,0.979626,1,-0.018794,-0.009879,-0.04856
312,0.954513,0.976727,1,0.974422,0.987045,1,-0.019909,-0.010318,0
313,0.956941,0.977997,1,0.953857,0.976384,1,0.003084,0.001613,0
314,0.955442,0.977213,1,0.96919,0.984354,1,-0.013748,-0.007141,0
315,0.975317,0.987504,1,0.978447,0.989106,1,-0.00313,-0.001602,0
316,0.946357,0.972439,1,0,0,0,0.946357,0.972439,1
317,0.972222,0.985915,1,0.982227,0.991034,1,-0.010005,-0.005119,0
318,0.964935,0.982155,1,0.977364,0.988552,1,-0.012429,-0.006397,0
319,0.945853,0.972173,1,0.960383,0.979791,1,-0.01453,-0.007618,0
320,0.94603,0.972266,0.986754,0.969798,0.984667,1,-0.023768,-0.012401,-0.013246
321,0.962729,0.98101,1,0.948864,0.973761,0.963636,0.013865,0.007249,0.036364
322,0.838816,0.912343,0.495526,0.874531,0.933067,0.732957,-0.035715,-0.020724,-0.237431
323,0.914661,0.955429,0.803192,0.971587,0.985589,1,-0.056926,-0.03016,-0.196808
324,0.936232,0.967066,1,0.961966,0.980614,1,-0.025734,-0.013548,0
325,0.942807,0.970562,0.995204,0.962867,0.981083,1,-0.02006,-0.010521,-0.004796
326,0.944444,0.971429,0.960542,0.966298,0.98286,1,-0.021854,-0.011431,-0.039458
327,0.961602,0.980425,1,0.965971,0.982691,1,-0.004369,-0.002266,0
328,0.949341,0.974012,1,0,0,0,0.949341,0.974012,1
329,0.948109,0.973364,1,0.977522,0.988633,1,-0.029413,-0.015269,0
330,0.967095,0.983272,1,0.987487,0.993704,1,-0.020392,-0.010432,0
331,0.909636,0.95268,0.874675,0.950221,0.974475,1,-0.040585,-0.021795,-0.125325
332,0.919551,0.958089,0.937357,0.957504,0.978291,0.982301,-0.037953,-0.020202,-0.044944
333,0.953801,0.976354,1,0.95658,0.977808,1,-0.002779,-0.001454,0
334,0.9,0.947368,0.842156,0.956184,0.977601,1,-0.056184,-0.030233,-0.157844
335,0.937362,0.967669,0.955299,0,0,0,0.937362,0.967669,0.955299
336,0.958292,0.978702,1,0.978709,0.98924,1,-0.020417,-0.010538,0
337,0.933767,0.965749,0.973752,0.950252,0.974491,1,-0.016485,-0.008742,-0.026248
338,0.938099,0.968061,0.980806,0.954029,0.976474,1,-0.01593,-0.008413,-0.019194
339,0.969043,0.984278,1,0,0,0,0.969043,0.984278,1
340,0.953055,0.975963,1,0.96812,0.983802,1,-0.015065,-0.007839,0
341,0.941421,0.969827,0.939932,0,0,0,0.941421,0.969827,0.939932
342,0.936454,0.967184,0.858699,0.957207,0.978136,1,-0.020753,-0.010952,-0.141301
343,0.963763,0.981547,1,0.979104,0.989442,1,-0.015341,-0.007895,0
344,0.970621,0.985091,1,0.973699,0.986674,1,-0.003078,-0.001583,0
345,0.918811,0.957688,0.951757,0.932467,0.965053,0.974087,-0.013656,-0.007365,-0.02233
346,0.969374,0.984449,1,0.972222,0.985915,1,-0.002848,-0.001466,0
347,0.919903,0.958281,0.837261,0,0,0,0.919903,0.958281,0.837261
348,0.943834,0.971106,0.963088,0.950316,0.974525,1,-0.006482,-0.003419,-0.036912
349,0.913412,0.954747,0.9458,0.939061,0.968573,1,-0.025649,-0.013826,-0.0542
350,0.95004,0.97438,0.985222,0.937614,0.967803,0.921519,0.012426,0.006577,0.063703
351,0.969799,0.984668,1,0.967897,0.983686,1,0.001902,0.000982,0
352,0.961523,0.980384,1,0.954599,0.976772,1,0.006924,0.003612,0
353,0.938808,0.968438,0.946288,0.927419,0.962343,0.927724,0.011389,0.006095,0.018564
354,0.975616,0.987657,1,0,0,0,0.975616,0.987657,1
