image_id,proposed_iou,proposed_dice,proposed_bf_score,xceptionnet_iou,xceptionnet_dice,xceptionnet_bf_score,diff_iou,diff_dice,diff_bf_score
87,0.965925,0.982667,1,0.928691,0.963027,0.994475,0.037234,0.01964,0.005525
88,0.973849,0.986751,1,0.945633,0.972057,1,0.028216,0.014694,0
89,0.920273,0.958481,0.901426,0.824016,0.903518,0.574271,0.096257,0.054963,0.327155
90,0.972037,0.98582,1,0.903238,0.949159,0.838898,0.068799,0.036661,0.161102
91,0.902421,0.948708,0.901829,0.913674,0.95489,0.985557,-0.011253,-0.006182,-0.083728
92,0.95987,0.979524,1,0.91711,0.956763,0.941512,0.04276,0.022761,0.058488
93,0.90123,0.948049,0.918259,0.892233,0.943048,0.906047,0.008997,0.005001,0.012212
94,0.971225,0.985403,1,0.951629,0.975215,1,0.019596,0.010188,0
95,0.950217,0.974473,1,0.877469,0.934736,0.822627,0.072748,0.039737,0.177373
96,0.961248,0.980241,1,0.931373,0.964467,0.927309,0.029875,0.015774,0.072691
97,0.950161,0.974444,1,0.859772,0.924599,0.743617,0.090389,0.049845,0.256383
98,0.936062,0.966975,1,0.967113,0.983282,1,-0.031051,-0.016307,0
99,0.954863,0.97691,1,0.967755,0.983614,1,-0.012892,-0.006704,0
100,0.955229,0.977102,1,0.946936,0.972745,1,0.008293,0.004357,0
101,0.925897,0.961523,0.912898,0.91028,0.953033,0.902779,0.015617,0.00849,0.010119
102,0.960347,0.979772,1,0.955094,0.977031,1,0.005253,0.002741,0
103,0.927798,0.962547,0.961749,0.953697,0.9763,1,-0.025899,-0.013753,-0.038251
104,0.970619,0.985091,1,0.951076,0.974924,1,0.019543,0.010167,0
105,0.950435,0.974588,1,0.93342,0.965564,0.989011,0.017015,0.009024,0.010989
106,0.964095,0.981719,1,0.936138,0.967016,0.91798,0.027957,0.014703,0.08202
107,0.934439,0.966108,0.994065,0.905524,0.95042,0.915371,0.028915,0.015688,0.078694
108,0.961061,0.980144,1,0.950887,0.974825,1,0.010174,0.005319,0
109,0.963863,0.981599,1,0.957955,0.978526,1,0.005908,0.003073,0
110,0.966741,0.983089,1,0.959125,0.979136,1,0.007616,0.003953,0
111,0.947938,0.973273,1,0.92057,0.958643,0.957409,0.027368,0.01463,0.042591
112,0.948037,0.973325,0.917397,0.923245,0.960091,0.962319,0.024792,0.013234,-0.044922
113,0.893735,0.943886,0.923789,0.845387,0.916216,0.762841,0.048348,0.02767,0.160948
114,0.964363,0.981858,1,0.943225,0.970783,1,0.021138,0.011075,0
115,0.943152,0.970745,0.973255,0.926355,0.96177,1,0.016797,0.008975,-0.026745
116,0.948095,0.973356,1,0.927197,0.962223,1,0.020898,0.011133,0
117,0.930912,0.96422,0.98795,0.904608,0.949915,0.86028,0.026304,0.014305,0.12767
118,0.854959,0.921809,0.734185,0.83531,0.910266,0.60923,0.019649,0.011543,0.124955
119,0.944911,0.971675,1,0.910567,0.95319,0.921638,0.034344,0.018485,0.078362
120,0.93975,0.968939,1,0.924801,0.960931,0.970326,0.014949,0.008008,0.029674
121,0.967054,0.983251,1,0.941328,0.969778,1,0.025726,0.013473,0
122,0.937908,0.96796,1,0.927442,0.962355,1,0.010466,0.005605,0
123,0.929175,0.963287,1,0.91515,0.955695,0.945637,0.014025,0.007592,0.054363
124,0.921148,0.958956,0.846995,0.918319,0.957421,0.906702,0.002829,0.001535,-0.059707
125,0.936838,0.967389,1,0.900511,0.947652,0.843878,0.036327,0.019737,0.156122
126,0.978091,0.988924,1,0.957302,0.978185,1,0.020789,0.010739,0
127,0.961653,0.980452,1,0.910773,0.953303,1,0.05088,0.027149,0
128,0.958691,0.97891,1,0.963967,0.981653,1,-0.005276,-0.002743,0
129,0.951358,0.975073,1,0.912804,0.954415,0.933579,0.038554,0.020658,0.066421
130,0.956278,0.977651,1,0.937149,0.967555,1,0.019129,0.010096,0
131,0.939317,0.968709,0.890283,0.952044,0.975433,1,-0.012727,-0.006724,-0.109717
132,0.965344,0.982367,1,0.915059,0.955646,0.975226,0.050285,0.026721,0.024774
133,0.960665,0.979938,1,0.929342,0.963377,0.983514,0.031323,0.016561,0.016486
134,0,0,0,0,0,0,0,0,0
135,0.950795,0.974777,1,0.862314,0.926067,0.722045,0.088481,0.04871,0.277955
136,0.966954,0.983199,1,0.876194,0.934012,0.780279,0.09076,0.049187,0.219721
137,0.97619,0.987952,1,0.937866,0.967937,0.989129,0.038324,0.020015,0.010871
138,0.924407,0.960719,0.964072,0.918072,0.957286,0.885465,0.006335,0.003433,0.078607
139,0.981356,0.99059,1,0.961088,0.980158,1,0.020268,0.010432,0
140,0.968708,0.984105,1,0.904114,0.949643,0.967002,0.064594,0.034462,0.032998
141,0.913416,0.954749,0.915816,0.768055,0.868814,0.436658,0.145361,0.085935,0.479158
142,0.928802,0.963087,1,0.885733,0.939404,0.750719,0.043069,0.023683,0.249281
143,0.948602,0.973623,0.984424,0.864025,0.927053,0.860058,0.084577,0.04657,0.124366
144,0.940084,0.969117,1,0.926227,0.961701,1,0.013857,0.007416,0
145,0.947644,0.973118,1,0.90816,0.95187,0.988974,0.039484,0.021248,0.011026
146,0.958229,0.978669,1,0.940134,0.969144,1,0.018095,0.009525,0
147,0.892696,0.943307,0.765675,0.933746,0.965738,0.959877,-0.04105,-0.022431,-0.194202
148,0.947556,0.973072,1,0.953247,0.976064,1,-0.005691,-0.002992,0
149,0.952925,0.975895,1,0.906586,0.951005,0.899788,0.046339,0.02489,0.100212
150,0.963946,0.981642,0.956159,0.912917,0.954476,0.977898,0.051029,0.027166,-0.021739
151,0.910507,0.953158,0.830777,0.92376,0.960369,0.843373,-0.013253,-0.007211,-0.012596
152,0.963176,0.981243,1,0.964688,0.982027,1,-0.001512,-0.000784,0
153,0.958684,0.978906,1,0.941586,0.969914,0.994082,0.017098,0.008992,0.005918
154,0.967835,0.983655,1,0.94414,0.971268,0.976977,0.023695,0.012387,0.023023
155,0.944897,0.971668,1,0.934492,0.966137,1,0.010405,0.005531,0
156,0.935403,0.966624,1,0.928748,0.963058,0.983095,0.006655,0.003566,0.016905
157,0.91016,0.952967,0.95672,0.9261,0.961632,1,-0.01594,-0.008665,-0.04328
158,0.955944,0.977476,1,0.953652,0.976276,1,0.002292,0.0012,0
159,0.950018,0.974369,1,0.922722,0.959808,0.965812,0.027296,0.014561,0.034188
160,0.927095,0.962168,0.978785,0.8624,0.926117,0.733991,0.064695,0.036051,0.244794
161,0.964434,0.981895,1,0.949345,0.974014,1,0.015089,0.007881,0
